# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Skjalgstova barnehage", "Sola kommune", "1018485"
"Sørnes barnehage", "Sola kommune", "1012795"
"Sørnes Åpen barnehage", "Sørnes Sokn", "1013162"
"Tananger Menighetsbarnehage", "Tananger Sokn", "1015981"
"The Childrens House barnehage", "The Childrens House", "1019733"
"Tjelta barnehage", "Sola kommune", "1012800"
"Tjodmarka barnehage", "A2 Holding AS", "1015180"
