barnehagefakta.get - WARNING - Change in response for id=1013215, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020167, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020189, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022190, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019930, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020801, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021844, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025800, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025311, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016372, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020463, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015969, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012758, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018479, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020347, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019770, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012761, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020816, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020568, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015572, archiving old result
