barnehagefakta.get - WARNING - Change in response for id=1022439, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019741, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020776, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017394, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000558, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015995, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021680, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025346, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017258, archiving old result
