# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Akasia barnehage Avd Hovedkontor", "Bergen Kommunes Barnehageselskap AS", "916173180"
"Arna familiebarnehage", "Bergen kommune", "974739259"
"Bekkjakrokane barnehage", "Bergen kommune", "974739208"
"Eventus barnehage AS", "Eventus barnehage AS", "988290211"
"Fagerbakken familiebarnehage AS", "Fagerbakken familiebarnehage AS", "991469559"
"Fredriksberg barnehage", "Bergen kommune", "974739275"
"Gimleveien Familiebarnehage Da", "Gimleveien Familiebarnehage Da", "874880752"
"Hellemyren barnehage", "Bergen kommune", "976735617"
"Iristunet barnehage", "Bergen kommune", "974739151"
"Lekehagen Familiebarnehage", "Lekehagen familiebarnehage", "980238636"
"Læringsverkstedet Helgatun Solkollen barnehage", "Læringsverkstedet Helgatun Solkollen barnehage AS", "973456075"
"Montana barnehage", "Bergen kommune", "991648682"
"Nattland Oppveksttun - barnehage", "Bergen kommune", "918305270"
"Pinnelien barnehage", "Bergen kommune", "975907910"
"Prismen Kanvas-barnehage", "Stiftelsen Kanvas", "983878008"
"Sofusbarnehagen AS", "Sofusbarnehagen AS", "979082088"
"Stiftelsen Vappus", "Stiftelsen Vappus", "926237144"
"Trollskogen barnehage", "Bergen kommune", "982708621"
"Ulvedalen barnehage", "Bergen kommune", "974739321"
"Valle familiebarnehage", "Berge Holding AS", "983616429"
"Ytrebygda barnehage", "Bergen kommune", "991650067"
