barnehagefakta.get - WARNING - Change in response for id=1014892, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018129, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018130, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020151, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018131, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018132, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018133, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014787, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014893, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018136, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021670, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015875, archiving old result
