barnehagefakta.get - WARNING - Change in response for id=974896583, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975314367, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975314375, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975296245, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974831309, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975314391, archiving old result
barnehagefakta.get - WARNING - Change in response for id=972340359, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974795949, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975324605, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875301012, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975314987, archiving old result
barnehagefakta.get - WARNING - Change in response for id=912322211, archiving old result
barnehagefakta.get - WARNING - Change in response for id=929230310, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973503197, archiving old result
