barnehagefakta.get - WARNING - Change in response for id=1020080, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020438, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021447, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017469, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022269, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021646, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025453, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020702, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022316, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022305, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017468, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020991, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022233, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019696, archiving old result
