barnehagefakta.get - WARNING - Change in response for id=1016059, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016061, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014830, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021900, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014036, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012865, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022264, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012864, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015446, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021583, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016442, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012867, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016601, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014812, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020159, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013015, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018548, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016172, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020035, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016752, archiving old result
