# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Andøysløyfen Familiebarnehage Da", "Andøysløyfen Familiebarnehage Da", "1021861"
"Barnas Rom AS", "Barnas Rom AS", "1021474"
"Bispegra og Marvika 3 barnehage", "Kristiansand kommune", "1015219"
"Fiskåtangen barnehage Da", "Fiskåtangen barnehage Da", "1019838"
"Grim Åpen barnehage", "Grim Sokn", "1020412"
"Hellemyr Åpen Barnehage", "Hellemyr Sokn", "1020490"
"Ima Barnehagedrift AS", "Ima Barnehagedrift AS", "1022264"
"Kranterima Ltd", "Kranterima Ltd", "1022030"
"Kristiansand kommune Pedagogisk Lekesenter", "Kristiansand kommune", "1004440"
"Krohns barnehage AS", "Krohns barnehage AS", "1025930"
"Lindtjønn Fus barnehage AS Avd Rødhettes Vei", "Lindtjønn Fus barnehage AS", "1021320"
"Lundeparken barnehage AS", "Lundeparken barnehage AS", "1021951"
"Mølledammen Gård Familiebarnehage AS", "Mølledammen Gård Familiebarnehage AS", "1022380"
"Nøtteliten barnehage", "Kristiansand kommune", "1020988"
"Nøtteliten Familie barnehage", "Nøtteliten Familie barnehage Lykseth", "1020192"
"Rakkerungan barnehage Da", "Rakkerungan barnehage Da", "1020763"
"Regnbuer AS", "Regnbuer AS", "1026336"
"Stiftegården Familiebarnehage Ans", "Stiftegården Familiebarnehage Ans", "1020036"
"Tinnheia Åpne barnehage", "Grim Sokn", "1020413"
"Vågsbygd Fus barnehage AS Avd Lumber", "Vågsbygd Fus barnehage AS", "1022069"
