# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Bjørnehiet Familiebarnehage Liv-Judith Andersen", "Bjørnehiet Familiebarnehage Liv-Judith Andersen", "1020207"
"Bugøynes Oppvekstsenter Avd barnehage", "Sør-Varanger kommune", "1013741"
"Einerveien barnehage", "Sør-Varanger kommune", "1017501"
"Hesseng barnehage", "Sør-Varanger kommune", "1013742"
"Jakobsnes Oppvekstsenter Avd barnehage", "Sør-Varanger kommune", "1012571"
"Kirkenes barnehage", "Sør-Varanger kommune", "1017380"
"Knausen barnehage", "Sør-Varanger kommune", "1016767"
"Neiden Oppvekstsenter Avd barnehage", "Sør-Varanger kommune", "1013887"
"Pasvik Oppvekstområde Avd barnehage", "Sør-Varanger kommune", "1013743"
"Prestefjellet barnehage AS", "Prestefjellet barnehage AS", "1020112"
"Prestøya barnehage", "Sør-Varanger kommune", "1016743"
"Rallaren barnehage", "Sør-Varanger kommune", "1014768"
"Sandnes barnehage", "Sør-Varanger kommune", "1025481"
"Skogfoss barnehage", "Sør-Varanger kommune", "1013766"
"Skytterhusfjellet barnehage", "Sør-Varanger kommune", "1013588"
"Villaveien Naturbarnehage Sa", "Villaveien Naturbarnehage Sa", "1020111"
