# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Johnsrudhuset barnehage", "Elisabeth Lillemoen Teigen", "2000043"
"Vestby Naturbarnehage Avd Johnsrudhuset Pepperstad", "Bjørg Tveit Strøm", "1015932"
"Vestby Naturbarnehage Avd Lesteberg", "Bjørg Tveit Strøm", "1015825"
"Vestby Naturbarnehage Avd Son", "Bjørg Tveit Strøm", "1017148"
"Vestby Naturbarnehage Avd Sundbytoppen", "Bjørg Tveit Strøm", "1017653"
"Østbydammen barnehage", "Vestby kommune", "1017147"
"Øståsen barnehage", "Vestby kommune", "1016412"
