barnehagefakta.get - WARNING - Change in response for id=1021191, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016167, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020970, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016517, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022174, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021988, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014762, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020010, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013721, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020024, archiving old result
