# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Áltta Siida AS", "Áltta Siida AS", "1021191"
"Aronnes barnehage", "Alta kommune", "1016167"
"Bossekop barnehage AS", "Bossekop barnehage AS", "1020970"
"Breidablikk barnehage", "Alta kommune", "1016517"
"Breverud barnehage AS", "Breverud barnehage AS", "1022174"
"Furua barnehage AS", "Furua barnehage AS", "1020869"
"Furuly Kulturbarnehage", "Betania Alta", "1015511"
"Gakori barnehage", "Alta kommune", "1013718"
"Guovddá¿ Mánáidgárdi", "Alta kommune", "1013719"
"Holmen Gårds og Naturbarnehage AS", "Holmen Gårds og Naturbarnehage AS", "1021988"
"Imi barnehage Avd Bakkeveien", "Stiftelsen Imi barnehage", "1016193"
"Komsatoppen barnehage AS", "Komsatoppen barnehage AS", "1022444"
"Kronstad barnehage", "Alta kommune", "1013720"
"Leirbotn barnehage", "Alta kommune", "1014762"
"Læringsverkstedet barnehage Avd Tornerose barnehage", "Læringsverkstedet AS", "1020109"
"Rishaugen barnehage", "Rishaugen barnehage Sa", "1020010"
"Sentrum barnehage", "Alta kommune", "1013721"
"Snehvit barnehage AS", "Snehvit barnehage AS", "1020024"
"Tverrelvdalen barnehage", "Alta kommune", "1016225"
