# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Bakkebygrenda barnehage", "Elverum kommune", "973494708"
"Fjeldmoravegen barnehage", "Elverum kommune", "975302601"
"Husmorlagets Hus barnehage", "Elverum kommune", "875302612"
"Studentsamskipnaden i Innlandet Avd Studentbarnehagen Veien", "Studentsamskipnaden i Innlandet", "982155908"
"Terningen Arena barnehage AS", "Terningen Arena barnehage AS", "999499635"
