barnehagefakta.get - WARNING - Change in response for id=988961450, archiving old result
barnehagefakta.get - WARNING - Change in response for id=918665137, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975011666, archiving old result
barnehagefakta.get - WARNING - Change in response for id=994776924, archiving old result
barnehagefakta.get - WARNING - Change in response for id=912559521, archiving old result
barnehagefakta.get - WARNING - Change in response for id=924032669, archiving old result
barnehagefakta - WARNING - 975314960, Unknown "eierform=Annet", fixme: consider using "erPrivatBarnehage=False"
barnehagefakta.get - WARNING - Change in response for id=979588372, archiving old result
barnehagefakta.get - WARNING - Change in response for id=918215972, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/974796740 differ from http://barnehagefakta.no/api/barnehage/974796740,"b'Vestre Aker Menighet barnehage'" != "b'Amigos Vestre Aker Menighet barnehage'"
barnehagefakta.get - WARNING - Change in response for id=975316335, archiving old result
barnehagefakta.get - WARNING - Change in response for id=911793806, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975316351, archiving old result
