# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"100 Meterskogen barnehage AS", "100 Meterskogen barnehage AS", "2000068"
"6 Labi AS", "6 Labi AS", "2000066"
"Abildsø barnehage", "Oslo kommune", "1016921"
"Aleris barnehage AS", "Aleris barnehage AS", "2000124"
"Alna Smart Språkgrupper og Åpne Barnehager", "Oslo kommune", "1017184"
"Amigos Barnehage/semillitas Familebarnehage", "Amigos barnehage Limited", "1017930"
"Arildsvingen Familiebarnehage Stein Petter Kaldahl", "Arildsvingen Familiebarnehage Stein Petter Kaldahl", "1021922"
"Bamsehagen barnehage Sa", "Bamsehagen barnehage Sa", "1019642"
"Barnehagen Breistein", "Kidsa Bygg AS", "1021552"
"Bertram barnehage", "Oslo kommune", "1013826"
"Bestevenner i Oslo AS", "Bestevenner i Oslo AS", "1025574"
"Bevegelsesglede AS", "Bevegelsesglede AS", "2000035"
"Bogerudsletta barnehage", "Oslo kommune", "1017281"
"Brødfabrikken Fus barnehage AS", "Brødfabrikken Fus barnehage AS", "2000049"
"Bråtenalleen barnehage", "Oslo kommune", "1017416"
"Bukkene Bruse Familiebarnehage", "Bitteliten Barnehager AS", "1017029"
"Bygdøynes Familiebarnehage", "Bygdøynes Familiebarnehage Lindgren", "1022247"
"Care, Selim", "Care, Selim", "1022400"
"Drengestua barnehage", "Oslo kommune", "1017931"
"Emmahagen Familiebarnehage", "Emmahagen Familiebarnehage Eli Anne Winge Strandmann Hodne", "1021096"
"Englebarna Familiebarnehage", "Sigrid Sikveland", "1020714"
"Eventyrskogen Familiebarnehage Ans", "Eventyrskogen Familiebarnehage Ans", "1021868"
"Fabulinus", "Fabulinus AS", "1026143"
"Familiegruppa/mobanosa", "Oslo kommune", "1012978"
"Familietreffen", "Oslo kommune", "1014709"
"Family Learning Fossum Aktivitetshus", "Oslo kommune", "1015216"
"Fanten Barnehage Avd Solhauggata", "Fant'En Barnehage", "1014068"
"Fernanda Fus barnehage AS", "Fernanda Fus barnehage AS", "1026557"
"Fredrik Grønvold Barnehagelærer", "Fredrik Grønvold Barnehagelærer", "1022382"
