# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Bassenget barnehage", "Moss kommune", "1016830"
"Gjerrebogen barnehage", "Moss kommune", "1017509"
"Hildes Familie Barnehage Hilde Martinsen Norborg", "Hildes Familie Barnehage Hilde Martinsen Norborg", "1020976"
"Mosseskogen barnehage", "Moss kommune", "1019610"
"Sydskogen barnehage", "Borg Barnehager AS", "1013043"
"Søly barnehage", "Espira Jeløy AS", "1013048"
"Trollskogen Naturbarnehage Sa", "Trollskogen Naturbarnehage Sa", "1020867"
"Tronvik Gårdsbarnehage AS", "Tronvik Gårdsbarnehage AS", "1021693"
"Verket barnehage Sa", "Verket barnehage Sa", "1020495"
"Ørejordet barnehage", "Moss kommune", "1015966"
"Åpen barnehage Skarmyra", "Moss kommune", "1014100"
