# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Fagerli åpen barnehage", "Larvik kommune", "985268312"
"Kvelde Åpen barnehage", "Larvik kommune", "887120862"
"Melendez Vikartjeneste Ernesto Antonio Melendez Figueroa", "Melendez Vikartjeneste Ernesto Antonio Melendez Figueroa", "917304009"
"Mesterfjellet åpen barnehage", "Larvik kommune", "915986579"
"Sentrumssatellitten barnehage", "Larvik kommune", "991447156"
"Stavern åpen barnehage", "Larvik kommune", "985684979"
"Svarstad Åpen barnehage", "Larvik kommune", "920892744"
"Thor Heyerdahl barnehage", "Larvik kommune", "987427930"
"Tjølling Åpen barnehage", "Larvik kommune", "985684944"
"Ulåsen barnehage", "Larvik kommune", "974585049"
"Villa-Kulla barnehage AS", "Villa-Kulla barnehage AS", "925710466"
