# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Eventyrskogen barnehage", "Lunner kommune", "1013970"
"Furumohaugen Familiebarnehage Henriette Ottosen", "Furumohaugen Familiebarnehage Henriette Ottosen", "1020882"
"Gamleskolen barnehage", "Lunner kommune", "1014770"
"Grindvoll barnehage AS", "Grindvoll barnehage AS", "1021486"
"Grua barnehage", "Grua barnehage Lene Nordberg", "1022408"
"Harestua Arena barnehage", "Lunner kommune", "2000016"
"Harestua barnehage", "Lunner kommune", "1025470"
"Kalvsjø barnehage", "Lunner kommune", "1017967"
"Lunder kommune barnehage Felles", "Lunner kommune", "2000290"
"Roa barnehage", "Lunner kommune", "1017969"
"Småtjern Naturbarnehage AS", "Småtjern Naturbarnehage AS", "1021356"
"Spurven Familie barnehage", "Wenches Familie Barnehager AS", "1021350"
"Taubanen barnehage AS", "Taubanen barnehage AS", "2000057"
"Åstroll Familiebarnehage", "Åstroll Naturbarnehage V/rita Fægri", "1021273"
