# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Ahus Nordbyhagen barnehage 1", "Akershus Universitetssykehus Hf", "1016669"
"Ahus Nordbyhagen barnehage 2", "Akershus Universitetssykehus Hf", "1012954"
"Ahus Nordbyhagen barnehage 3", "Akershus Universitetssykehus Hf", "1012955"
"Ahus Nordbyhagen barnehage 4", "Akershus Universitetssykehus Hf", "1012956"
"Ahus Nordbyhagen barnehage 5", "Akershus Universitetssykehus Hf", "1012957"
"Bambi Familiebarnehage", "Bambi privat Familiebarnehage Avd.1 Songyl Kisin", "1020754"
"Benterud barnehage", "Lørenskog kommune", "1015749"
"Bruget barnehage", "Lørenskog kommune", "1014796"
"Bårliskogen barnehage", "Lørenskog kommune", "1018362"
"Eventyrstua barnehage", "Lørenskog kommune", "1017841"
"Finstad barnehage", "Lørenskog kommune", "1017534"
"Fjellhamar barnehage", "Lørenskog kommune", "1017535"
"Fjellhamar Gård barnehage", "Lørenskog kommune", "2000276"
"Fjellsrud barnehage", "Lørenskog kommune", "1014795"
"Framtia barnehage", "Lørenskog kommune", "2000085"
"Grønlia barnehage", "Lørenskog kommune", "1017536"
"Gülserens Familiebarnehage", "Gülserens Familiebarnehage Gülseren Køkyer", "1021522"
"Hundremeterskogen Familiebarnehage", "Hundremeterskogen Familiebarnehage avd Ole Brum Eva Fougli Holmsen", "1020354"
"Hundremeterskogen Familiebarnehage Nasse Nøff", "Hundremeterskogen Familiebarnehage avd Nasse Nøff Marianne O Knardahl", "1020355"
"Kjenn barnehage", "Lørenskog kommune", "1013788"
"Klubben barnehage", "Lørenskog kommune", "1014707"
"Kløverhagen 1 Eva Maritha Stolp Olaussen", "Kløverhagen 1 Eva Maritha Stolp Olaussen", "1020787"
"Kløverhagen Familiebarnehage 2 Inger Elisabeth Bjørnsrud Olaussen", "Kløverhagen Familiebarnehage 2 Inger Elisabeth Bjørnsrud Olaussen", "1021477"
"Knerten Familiebarnehage", "Knerten Familiebarnehage Monika Roger", "1020274"
"Kurland barnehage", "Lørenskog kommune", "1013911"
"Langgrunna Private Familiebarnehage", "Langgrunna Familie barnehage Emine Bitmez", "1021074"
"Lille Stjerne Familiebarnehage", "Lille Stjerne Familiebarnehage Elizabeth Myhre Berntzen", "1021338"
"Luna Familiebarnehage Avdeling Fjellhamar", "Luna Familiebarnehage V/helle Slott Hitchinson", "1021257"
"Luna Familiebarnehage Avdeling Skårer", "Luna Familiebarnehage V/helle Slott Hitchinson", "2000100"
"Læringsverkstedet barnehage Avd Margaretalia", "Læringsverkstedet AS", "1020301"
"Løken barnehage", "Lørenskog kommune", "1017537"
"Løkenåsen barnehage", "Lørenskog kommune", "1017538"
"Lørenskog Familiebarnehage", "Lørenskog Familiebarnehage Anne Grethe Solheim Varga", "1020757"
"Nesåsen barnehage Sa", "Nesåsen barnehage Sa", "1020779"
"Norlandia Tre Troll barnehage", "Norlandia Barnehagene AS", "1016539"
"Rasta barnehage", "Lørenskog kommune", "1017539"
"Regnbuen barnehage Lørenskog", "Regnbuen barnehage Lørenskog", "1022057"
"Rolvsrud barnehage", "Lørenskog kommune", "1013256"
"Skårungen Barnehave Sa", "Skårungen Barnehave Sa", "1019512"
"Småknøttene Familiebarnehage", "Småknøttene Familiebarnehage Cathrine Stokmann Solberg", "1021028"
"Solheim barnehage", "Lørenskog kommune", "1017540"
"Solheim Familiebarnehage", "Solheim Familiebarnehage Nr 2 Monica Ellefsen", "1020352"
"Stiftelsen Idavollen Steinerbarnehage", "Stiftelsen Idavollen Steinerbarnehage", "1019764"
"Sørli barnehage", "Sørli barnehage Sa", "1019931"
"Takt og Tone", "Takt og Tone Unni Sørenbye", "1020616"
"Takt og Tone AS", "Takt og Tone AS", "1022283"
"Vallerud barnehage", "Lørenskog kommune", "1017541"
"Vangen barnehage Sa", "Vangen barnehage Sa", "1019914"
"Xtra Hjelpen Eva", "Xtra Hjelpen E. Sitje", "1021014"
"Åsheimskog Fus barnehage", "Åsheimskog Fus barnehage AS", "1021238"
