# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Posthornet barnehage", "Postens Foreldreforening", "1019839"
"Regnbuen barnehage Sa", "Regnbuen barnehage Sa", "1019748"
"Sandnes barnehage", "Alstahaug kommune", "1016988"
"Sandnessjøen barnehage AS", "Sandnessjøen barnehage AS", "1021774"
"Småbarnsforeldrenes barnehage Alstahaug Sa", "Småbarnsforeldrenes barnehage Alstahaug Sa", "1020174"
"Søvik oppvekstsenter Avd Søvik barnehage", "Alstahaug kommune", "1013657"
"Tjøtta oppvekstsenter Avd Tjøtta barnehage", "Alstahaug kommune", "1013940"
"Ura barnehage", "Alstahaug kommune", "1015951"
