barnehagefakta.get - WARNING - Change in response for id=974585804, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992877553, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975321215, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975316971, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974585731, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975306860, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974585944, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973383191, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974585839, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991755314, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991570497, archiving old result
barnehagefakta.get - WARNING - Change in response for id=917522650, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973610341, archiving old result
barnehagefakta.get - WARNING - Change in response for id=983648894, archiving old result
barnehagefakta.get - WARNING - Change in response for id=981530896, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974585952, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979932014, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990033277, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974586029, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990333963, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974585812, archiving old result
barnehagefakta.get - WARNING - Change in response for id=915777856, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974585820, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990114927, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974585723, archiving old result
barnehagefakta.get - WARNING - Change in response for id=873131632, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973138650, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973138642, archiving old result
