# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Berglia barnehage", "Lenvik kommune", "1016164"
"Blomli barnehage", "Lenvik kommune", "1014954"
"Furumoen barnehage", "Lenvik kommune", "1015460"
"Nlm Barnehagene AS Avd Heimly barnehage", "Nlm-Barnehagene AS", "1013291"
"Rossfjord barnehage", "Lenvik kommune", "1014696"
"Silsand barnehage", "Lenvik kommune", "1013904"
"Trollvik barnehage", "Lenvik kommune", "1015967"
