# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Bjørkenes Familiebarnehage AS", "Bjørkenes Familiebarnehage AS", "2000513"
"Blåbærskogen Naturbarnehage AS", "Blåbærskogen Naturbarnehage AS", "1022268"
"Bøklia barnehage", "Tvedestrand kommune", "1015959"
"Grotten barnehage", "Tvedestrand kommune", "1015971"
"Knatten barnehage", "Gjeving Barnehageforening", "1020372"
"Lundevann AS", "Lundevann AS", "1020323"
"Lyngbakken barnehage", "Tvedestrand kommune", "1016052"
"Læringsverkstedet barnehage Avd Fjellhulen barnehage", "Læringsverkstedet AS", "1017234"
"Napen Familiebarnehage", "Napen Familiebarnehage Ingunn Nodland", "1020142"
"Sandøya barnehage", "Vestre Sandøya barnehage Sa", "1019810"
"Skriverstua barnehage", "Tvedestrand kommune", "1014923"
"Villa Utsikten barnehage", "Tvedestrand kommune", "1017100"
