barnehagefakta.get - WARNING - Change in response for id=1013257, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019891, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000252, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016546, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021617, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016919, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000316, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017855, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000352, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013116, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1026485, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000353, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000159, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016433, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000340, archiving old result
