barnehagefakta.get - WARNING - Change in response for id=1014697, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014048, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022363, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013710, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021240, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021121, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013765, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013711, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013712, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021579, archiving old result
