barnehagefakta.get - WARNING - Change in response for id=894526912, archiving old result
barnehagefakta.get - WARNING - Change in response for id=982781213, archiving old result
barnehagefakta.get - WARNING - Change in response for id=918091068, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975306585, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989625489, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975322823, archiving old result
barnehagefakta.get - WARNING - Change in response for id=987785411, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975306615, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975183297, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973494589, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973457225, archiving old result
