"NBR name", "new name"
"Utigarden barnehage AS", "Utigarden barnehage"
"Alsgård Fus barnehage", "Alsgård FUS barnehage"
"Gjæran barnehage Avd Messiosen", "Gjæran barnehage avd. Messiosen"
"Gjæran barnehage Avd Osphaugen", "Gjæran barnehage avd. Osphaugen"
"Gla'ungan AS", "Gla'ungan"
"Grønnåsen barnehage AS", "Grønnåsen barnehage"
"Jensvoll barnehage AS", "Jensvoll barnehage"
"Kjerringøy oppvekstsenter Avd barnehage", "Kjerringøy oppvekstsenter avd. barnehage"
"Labbetuss barnehage SA", "Labbetuss barnehage"
"Løding barnehage Avd Maurtua", "Løding barnehage avd. Maurtua"
"Løding barnehage Avd Vestre Løding", "Løding barnehage avd. Vestre Løding"
"Misvær oppvekstsenter Avd barnehage", "Misvær oppvekstsenter avd. barnehage"
"Neståsen barnehage SA", "Neståsen barnehage"
"Samvirkeforetaket Befalsfruene Bodø Garnison SA - Bamsebo barnehage", "Samvirkeforetaket Befalsfruene Bodø Garnison - Bamsebo barnehage"
"Sentrum barnehage Avd Parkveien", "Sentrum barnehage avd. Parkveien"
"Sentrum barnehage Avd Vestbyen", "Sentrum barnehage avd. Vestbyen"
"Skaug oppvekstsenter Avd barnehage", "Skaug oppvekstsenter avd. barnehage"
"Skjerstad oppvekstsenter Avd barnehage", "Skjerstad oppvekstsenter avd. barnehage"
"Skolen i Væran Avd barnehage", "Skolen i Væran avd. barnehage"
"Stiftelsen Bodin 4H-Gård", "Stiftelsen Bodin 4h-gård"
"Studentongan barnehage AS", "Studentongan barnehage"
"Trollmyra barnehage AS", "Trollmyra barnehage"
"Vågønes barnehage AS", "Vågønes barnehage"
"Askeladden barnehage SA", "Askeladden barnehage"
"Banktrollet barnehage SA", "Banktrollet barnehage"
"Barnehagen Viktoriahavn AS", "Barnehagen Viktoriahavn"
"Beisfjord barnehage SA", "Beisfjord barnehage"
"Bjørkåshøgda familiebarnehage Ved Tove Ærø", "Bjørkåshøgda familiebarnehage Tove Ærø"
"Ekornstien barnehage AS", "Ekornstien barnehage"
"Hoppensprett barnehage Bjerkvik AS", "Hoppensprett barnehage Bjerkvik"
"Hoppensprett barnehage Soltoppen AS", "Hoppensprett barnehage Soltoppen"
"Malmklumpen barnehage SA", "Malmklumpen barnehage"
"Soria Moria studentbarnehage AS", "Soria Moria studentbarnehage"
"Ørarampen barnehage AS", "Ørarampen barnehage"
"Fjellsøya barnehage AS", "Fjellsøya barnehage"
"Sylteren barnehage SA", "Sylteren barnehage"
"Solli barnehage AS", "Solli barnehage"
"Regnbuen barnehage SA", "Regnbuen barnehage"
"Sandnessjøen barnehage AS", "Sandnessjøen barnehage"
"Segelbergan barnehage SA", "Segelbergan barnehage"
"Søvik oppvekstsenter Avd Søvik barnehage", "Søvik oppvekstsenter avd. Søvik barnehage"
"Tjøtta oppvekstsenter Avd Tjøtta barnehage", "Tjøtta oppvekstsenter avd. Tjøtta barnehage"
"Askeladden barnehage AS", "Askeladden barnehage"
"Kippermoen friluftsbarnehage AS", "Kippermoen friluftsbarnehage"
"Landbruksskolens barnehage SA", "Landbruksskolens barnehage"
"Mkaf Fagertun barnehage AS", "Mkaf Fagertun barnehage"
"Mosjøen Fus barnehage AS", "Mosjøen FUS barnehage"
"Nyrud barnehage SA", "Nyrud barnehage"
"Regnbuen barnehage Mosjøen AS", "Regnbuen barnehage Mosjøen"
"Skaland naturbarnehage AS", "Skaland naturbarnehage"
"Hattfjelldal oppvekstsenter Avd barnehage", "Hattfjelldal oppvekstsenter avd. barnehage"
"Susendal oppvekstsenter Avd barnehage", "Susendal oppvekstsenter avd. barnehage"
"Varntresk oppvekstsenter Avd barnehage", "Varntresk oppvekstsenter avd. barnehage"
"Dønna barnehage Avd Solfjellsjøen", "Dønna barnehage avd. Solfjellsjøen"
"Løkta oppvekstsenter Avd barnehage", "Løkta oppvekstsenter avd. barnehage"
"Rødstua barnehage SA", "Rødstua barnehage"
"Tomma bedriftsbarnehage AS", "Tomma bedriftsbarnehage"
"Sørfjellet Gårds- og friluftsbarnehage", "Sørfjellet gårds- og friluftsbarnehage"
"Barnehagen Småtroll AS", "Barnehagen Småtroll"
"Frikultbarnehagen Båsmo AS", "Frikultbarnehagen Båsmo"
"Frikultbarnehagen Ytteren AS", "Frikultbarnehagen Ytteren"
"Moltekarten Gårds- og naturbarnehage AS", "Moltekarten gårds- og naturbarnehage"
"Røverreiret barnehage SA", "Røverreiret barnehage"
"Stiftelsen Kirkebakken barnehage", "Stiftelsen kirkebakken barnehage"
"Tullas Hage AS", "Tullas Hage"
"Tusenbein barnehage SA", "Tusenbein barnehage"
"Utskarpen barnehage og Menighetshus", "Utskarpen barnehage og menighetshus"
"Konsvik oppvekstsenter Avd barnehage", "Konsvik oppvekstsenter avd. barnehage"
"Onøy Lurøy oppvekstsenter Avd barnehage", "Onøy Lurøy oppvekstsenter avd. barnehage"
"Sleneset oppvekstsenter Avd barnehage", "Sleneset oppvekstsenter avd. barnehage"
"Meløy oppvekstsenter Avd Solsikken barnehage", "Meløy oppvekstsenter avd. Solsikken barnehage"
"Inndyr barnehage Avdelingsbarnehage", "Inndyr barnehage avdelingsbarnehage"
"Nygårdsjøen oppvekstsenter Avd barnehage", "Nygårdsjøen oppvekstsenter avd. barnehage"
"Sørarnøy skole og barnehage Avd barnehage", "Sørarnøy skole og barnehage avd. barnehage"
"Engan gårdsbarnehage AS", "Engan gårdsbarnehage"
"Fauske idrettsbarnehage AS", "Fauske idrettsbarnehage"
"Lyngheia barnehage AS Avd Lyngveien barnehage", "Lyngheia barnehage avd. Lyngveien barnehage"
"Stemland gårdsbarnehage AS", "Stemland gårdsbarnehage"
"Valnesfjord barnehage Avd Løkås", "Valnesfjord barnehage avd. Løkås"
"Nubben Barnehagedrift AS", "Nubben barnehagedrift"
"Ballstad barnehage AS", "Ballstad barnehage"
"Griseknoen gårdsbarnehage AS", "Griseknoen gårdsbarnehage"
"Kakhaugen barnehage AS", "Kakhaugen barnehage"
"Norlandia Arken barnehage AS", "Norlandia Arken barnehage"
"Sjøkanten barnehage AS", "Sjøkanten barnehage"
"Skautrollet naturbarnehage AS", "Skautrollet naturbarnehage"
"Tommeliten barnehage AS", "Tommeliten barnehage"
"Trollknausen barnehage AS", "Trollknausen barnehage"
"Wv Eiendom AS", "Wv Eiendom"
"Barnehagen Gunhilds Minne AS", "Barnehagen Gunhilds Minne"
"Filipstua friluftsbarnehage SA", "Filipstua friluftsbarnehage"
"Kabelvåg barnehage AS", "Kabelvåg barnehage"
"Lundeveien familiebarnehage AS", "Lundeveien familiebarnehage"
"Nordlys barnehage AS", "Nordlys barnehage"
"Osanstua barnehage AS", "Osanstua barnehage"
"Småtrollan barnehage SA", "Småtrollan barnehage"
"Solheim barnehage AS", "Solheim barnehage"
"Strauman oppvekstsenter Avd barnehage", "Strauman oppvekstsenter avd. barnehage"
"Aspåsen barnehage SA", "Aspåsen barnehage"
"Grytting barnehage SA", "Grytting barnehage"
"Hoppensprett Melbu AS", "Hoppensprett Melbu"
"Hoppensprett Stokmarknes AS", "Hoppensprett Stokmarknes"
"Tumlebo barnehage SA", "Tumlebo barnehage"
"Myre bedriftsbarnehage AS", "Myre bedriftsbarnehage"
"Trollskogen barnehage SA", "Trollskogen barnehage"
"Blåfjell barnehage SA", "Blåfjell barnehage"
"Hoppensprett Bjørkmo AS", "Hoppensprett Bjørkmo"
"Kleiva naturbarnehage SA", "Kleiva naturbarnehage"
"Nordskogen barnehage SA", "Nordskogen barnehage"
"Prestelva barnehage SA", "Prestelva barnehage"
"Skogstjerna familiebarnehage SA", "Skogstjerna familiebarnehage"
"Innhavet oppvekstsenter Avd barnehage", "Innhavet oppvekstsenter avd. barnehage"
"Viejega AS", "Viejega"
"Alfheim barnehage AS", "Alfheim barnehage"
"Asak kulturbarnehage AS", "Asak kulturbarnehage"
"Bollerød Fus barnehage", "Bollerød FUS barnehage"
"Festningsgata Menighets barnehage", "Festningsgata menighets barnehage"
"Hovsveien Fus barnehage AS", "Hovsveien FUS barnehage"
"Lysløypa barnehage AS", "Lysløypa barnehage"
"Preg barnehager Halden AS", "Preg barnehager Halden"
"Nordby gårdsbarnehage AS", "Nordby gårdsbarnehage"
"Rokke barnehage SA", "Rokke barnehage"
"Skogkanten Dyr & naturbarnehage AS", "Skogkanten Dyr & naturbarnehage"
"Solbakken naturbarnehage AS", "Solbakken naturbarnehage"
"Solbakkeparken barnehage AS", "Solbakkeparken barnehage"
"Trolltangen naturbarnehage AS", "Trolltangen naturbarnehage"
"Åkerholmen barnehage SA", "Åkerholmen barnehage"
"Bråtenstua barnehage SA", "Bråtenstua barnehage"
"Ekholt barnehage SA", "Ekholt barnehage"
"Gubbeskogen Fus barnehage", "Gubbeskogen FUS barnehage"
"Kråka Fus kulturbarnehage AS", "Kråka FUS kulturbarnehage"
"Moss Kommune, åpen Barnehage, Øreåsen", "Moss Kommune, åpen barnehage, Øreåsen"
"Moss Kommune, åpen Barnehage, Åvangen", "Moss Kommune, åpen barnehage, Åvangen"
"Refsnes barnehage SA", "Refsnes barnehage"
"Sandbukta barnehage AS", "Sandbukta barnehage"
"Sjøhagen Fus barnehage AS", "Sjøhagen FUS barnehage"
"Smedhusåsen barnehage SA", "Smedhusåsen barnehage"
"Stiftelsen Steinerbarnehagen i Moss", "Stiftelsen steinerbarnehagen i Moss"
"Sydskogen barnehage AS", "Sydskogen barnehage"
"Trollskogen naturbarnehage SA", "Trollskogen naturbarnehage"
"Tronvik gårdsbarnehage AS", "Tronvik gårdsbarnehage"
"Verket barnehage SA", "Verket barnehage"
"Askeladden barnehage Borg AS Albert Moeskausvei", "Askeladden barnehage Borg Albert Moeskausvei"
"Askeladden barnehage Borg Fladebyveien AS", "Askeladden barnehage Borg Fladebyveien"
"Askeladden barnehage Borg Revyveien AS", "Askeladden barnehage Borg Revyveien"
"Askeladden barnehage Borg St. Nikolasgate AS", "Askeladden barnehage Borg St. Nikolasgate"
"Askeladden barnehage Borg turnusbarnehage Færdersgt AS", "Askeladden barnehage Borg turnusbarnehage Færdersgt"
"Baneveien barnehage Avd Baneveien", "Baneveien barnehage avd. Baneveien"
"Bikuben barnehage AS", "Bikuben barnehage"
"Borgen barnehage Ngh AS", "Borgen barnehage Ngh"
"Fjelldal barnehage AS", "Fjelldal barnehage"
"Grotterødløkka AS", "Grotterødløkka"
"Hannestad barnehage AS", "Hannestad barnehage"
"Hasle barnehage AS", "Hasle barnehage"
"Kulås barnehage AS", "Kulås barnehage"
"Lande Gård barnehage AS", "Lande gård barnehage"
"Læringsverkstedet Store Tune Gård barnehage", "Læringsverkstedet Store Tune gård barnehage"
"Løkke barnehage SA", "Løkke barnehage"
"Mobakken barnehage AS", "Mobakken barnehage"
"Nygårdshaugen barnehage SA", "Nygårdshaugen barnehage"
"Paletten familiebarnehage AS", "Paletten familiebarnehage"
"Picasso familiebarnehage AS", "Picasso familiebarnehage"
"Snarveien Fus barnehage", "Snarveien FUS barnehage"
"Soltun gårdsbarnehage AS", "Soltun gårdsbarnehage"
"Storeper barnehage AS", "Storeper barnehage"
"Tubus barnehage AS", "Tubus barnehage"
"Begbyenga barnehage AS", "Begbyenga barnehage"
"Blomsterøya barnehage SA", "Blomsterøya barnehage"
"Engelsviken barnehage AS", "Engelsviken barnehage"
"Fotspor barnehage AS", "Fotspor barnehage"
"Glombo barnehage AS", "Glombo barnehage"
"Gråtass barnehage AS Avd Torp", "Gråtass barnehage avd. Torp"
"Gråtass barnehage Fagen AS", "Gråtass barnehage Fagen"
"Gråtass barnehage Skjærviken AS", "Gråtass barnehage Skjærviken"
"Gråtass barnehage Veelstoppen AS", "Gråtass barnehage Veelstoppen"
"Gudevold barnehage AS", "Gudevold barnehage"
"Haugeløkka barnehage AS", "Haugeløkka barnehage"
"Hjørgunn barnehage AS", "Hjørgunn barnehage"
"Kilen barnehage AS", "Kilen barnehage"
"Kjølbergskogen barnehage AS", "Kjølbergskogen barnehage"
"Kråkeby barnehage AS", "Kråkeby barnehage"
"Lilleng naturbarnehage AS", "Lilleng naturbarnehage"
"Lunde barnehage AS", "Lunde barnehage"
"Preg barnehager Rødsdalen AS", "Preg barnehager Rødsdalen"
"Preg barnehager Kjærre AS", "Preg barnehager Kjærre"
"Noas Park barnehage AS", "Noas Park barnehage"
"Ramsjø gårdsbarnehage AS", "Ramsjø gårdsbarnehage"
"Roselia barnehage SA", "Roselia barnehage"
"Samvirkebarnehagene SA", "Samvirkebarnehagene"
"Skala barnehage AS", "Skala barnehage"
"Skjærviken barnehage AS", "Skjærviken barnehage"
"St.Hansfjellet barnehage", "St.hansfjellet barnehage"
"Tommeliten familiebarnehage AS", "Tommeliten familiebarnehage"
"Trollklubben barnehage AS Avd Rolvsøy", "Trollklubben barnehage avd. Rolvsøy"
"Trondalen barnehage AS", "Trondalen barnehage"
"Tørkopp Fus barnehage", "Tørkopp FUS barnehage"
"Veslefrikk Steinerbarnehagen", "Veslefrikk steinerbarnehagen"
"Villa Øst barnehage SA", "Villa Øst barnehage"
"Ville Villekulla familiebarnehage AS", "Ville Villekulla familiebarnehage"
"Vispen private barnehage Da", "Vispen private barnehage"
"Wilbergjordet barnehage AS", "Wilbergjordet barnehage"
"Ørebekk barnehage / Rs Team AS", "Ørebekk barnehage / Rs Team"
"Huser gårdsbarnehage AS", "Huser gårdsbarnehage"
"Furuly barnehage Råde AS", "Furuly barnehage Råde"
"Missingmyr barnehage AS", "Missingmyr barnehage"
"Naturbarna AS Kollen naturbarnehage", "Naturbarna Kollen naturbarnehage"
"Små Spirer gårdsbarnehage AS", "Små Spirer gårdsbarnehage"
"Preg barnehager Våk AS", "Preg barnehager Våk"
"Sperbund Gård og familiebarnehage", "Sperbund gård og familiebarnehage"
"Hestehoven gårdsbarnehage AS", "Hestehoven gårdsbarnehage"
"Brødholt Fus barnehage AS", "Brødholt FUS barnehage"
"Espira Skolegata barnehage", "Espira skolegata barnehage"
"Knoll og Tott barnehage Jørn-Thomas Gaaseby", "Knoll og Tott barnehage Jørn-thomas Gaaseby"
"Linnéa Natur- og gårdsbarnehage AS", "Linnéa natur- og gårdsbarnehage"
"Skogstjerna Natur og menighetsbarnehage", "Skogstjerna natur og menighetsbarnehage"
"Solsiden barnehage SA", "Solsiden barnehage"
"Stiftelsen Gullhaugen steinerbarnehage", "Stiftelsen Gullhaugen Steinerbarnehage"
"Stubbeskogen naturbarnehage AS", "Stubbeskogen naturbarnehage"
"Tyttebæret barnehage SA", "Tyttebæret barnehage"
"Tussilago barnehage AS", "Tussilago barnehage"
"Aktivitetsbarnehagen AS", "Aktivitetsbarnehagen"
"Arba AS Avd Kløverbakken barnehage", "Arba avd. Kløverbakken barnehage"
"Barnas Hus AS", "Barnas Hus"
"Barnehagen Vier SA", "Barnehagen Vier"
"Barnehagenvår Fossum Grendehus", "Barnehagenvår Fossum grendehus"
"Barnehagenvår Fossum Terrasse", "Barnehagenvår Fossum terrasse"
"Bærumsmarka Fus barnehage AS", "Bærumsmarka FUS barnehage"
"Ekrekroken barnehage SA", "Ekrekroken barnehage"
"Epleskogen barnehage SA", "Epleskogen barnehage"
"Furu barnehage AS", "Furu barnehage"
"Gjettum barnehage SA", "Gjettum barnehage"
"Glitre barnehage Avd Bakkeplassen", "Glitre barnehage avd. Bakkeplassen"
"Glitre barnehage Avd Langeleiken", "Glitre barnehage avd. Langeleiken"
"Glitre barnehage Avd Løkenlia", "Glitre barnehage avd. Løkenlia"
"Glitre barnehage Avdeling Soppen", "Glitre barnehage avd. Soppen"
"Grav barnehage Avdeling Liom", "Grav barnehage avd. Liom"
"Grav barnehage Avdeling Øvrevoll", "Grav barnehage avd. Øvrevoll"
"Grindaberget barnehage SA", "Grindaberget barnehage"
"Grini barnehage Avd Briskehaugen", "Grini barnehage avd. Briskehaugen"
"Grini barnehage Avd Fossum", "Grini barnehage avd. Fossum"
"Gullungene familiebarnehage Avd Bjerkelundsveien", "Gullungene familiebarnehage avd. Bjerkelundsveien"
"Gullungene familiebarnehage Avd Vollsveien", "Gullungene familiebarnehage avd. Vollsveien"
"Haslum barnehage Avd Nedre Haslum", "Haslum barnehage avd. Nedre Haslum"
"Haslum barnehage Avd Øvre Haslum", "Haslum barnehage avd. Øvre Haslum"
"Helgerud Menighets barnehage", "Helgerud menighets barnehage"
"Helset barnehage Avd Helset", "Helset barnehage avd. Helset"
"Helset barnehage Avd Skollerudveien", "Helset barnehage avd. Skollerudveien"
"Hornienga Fus barnehage AS", "Hornienga FUS barnehage"
"Hosle barnehage Avd Hosle", "Hosle barnehage avd. Hosle"
"Jar Fus barnehage", "Jar FUS barnehage"
"Kolsås barnehage Avdeling Hovedhuset", "Kolsås barnehage avd. Hovedhuset"
"Kolsås barnehage Avdeling Småbarnshuset", "Kolsås barnehage avd. Småbarnshuset"
"Lilja familiebarnehage Avd Grinistubben 6", "Lilja familiebarnehage avd. Grinistubben 6"
"Lilja familiebarnehage Avd Grinistubben 2", "Lilja familiebarnehage avd. Grinistubben 2"
"Lille-Jong barnehage", "Lille-jong barnehage"
"Lindegaard familiebarnehage AS", "Lindegaard familiebarnehage"
"Lommedalen Menighets barnehage", "Lommedalen menighets barnehage"
"Marihøna barnehage SA", "Marihøna barnehage"
"Martina Hansens hospital Personalbarnehagen", "Martina Hansens hospital personalbarnehagen"
"Myrsnipa Fus barnehage AS", "Myrsnipa FUS barnehage"
"Nadderudskogen barnehage Avd Nadderud", "Nadderudskogen barnehage avd. Nadderud"
"Nadderudskogen barnehage Avd Gjønnesskogen", "Nadderudskogen barnehage avd. Gjønnesskogen"
"Norlandia Sjøflyhavna AS Avd barnehage", "Norlandia Sjøflyhavna avd. barnehage"
"Nøtteliten Blommenholmveien AS", "Nøtteliten Blommenholmveien"
"Nøtteliten Emma Hjort AS", "Nøtteliten Emma Hjort"
"Nøtteliten Grevlingåsen AS", "Nøtteliten Grevlingåsen"
"Nøtteliten Haslum Terrasse AS", "Nøtteliten Haslum terrasse"
"Nøtteliten Ramstadåsveien AS", "Nøtteliten Ramstadåsveien"
"Oddenskogen barnehage SA", "Oddenskogen barnehage"
"Ringstabekk Fus barnehage AS", "Ringstabekk FUS barnehage"
"Rugekassen AS Avd Bærum", "Rugekassen avd. Bærum"
"Skarva Grendehus Avd. barnehage", "Skarva grendehus avd. barnehage"
"Snarøya barnehage AS", "Snarøya barnehage"
"Stabekk barnehage Avdeling Stabekk", "Stabekk barnehage avd. Stabekk"
"Stiftelsen Almeskogen steinerbarnehage", "Stiftelsen Almeskogen Steinerbarnehage"
"Strand barnehage SA", "Strand barnehage"
"Ståvi barnehage Avd Borkenhagen", "Ståvi barnehage avd. Borkenhagen"
"Ståvi barnehage Avd Skui", "Ståvi barnehage avd. Skui"
"Sukkerspinn familiebarnehage Da", "Sukkerspinn familiebarnehage"
"Tanum Fus barnehage AS", "Tanum FUS barnehage"
"Toppenhaug barnehage Avd Øvre Toppenhaug", "Toppenhaug barnehage avd. Øvre Toppenhaug"
"Toppenhaug barnehage Avd Nedre Toppenhaug", "Toppenhaug barnehage avd. Nedre Toppenhaug"
"Tveterjordet Fus barnehage AS", "Tveterjordet FUS barnehage"
"Tøffe barnehage SA", "Tøffe barnehage"
"Vøyen Fus barnehage AS", "Vøyen FUS barnehage"
"Østerås barnehage Avd Fururabben", "Østerås barnehage avd. Fururabben"
"Østerås barnehage Avd Ovenbakken", "Østerås barnehage avd. Ovenbakken"
"Øverland barnehage AS", "Øverland barnehage"
"Ås barnehage Avd Vågebytoppen", "Ås barnehage avd. Vågebytoppen"
"Ås barnehage Avd Vestre Jong", "Ås barnehage avd. Vestre Jong"
"Åsterud barnehage Avdeling Åsterudveien", "Åsterud barnehage avd. Åsterudveien"
"100-Meterskogen barnehage AS", "100-meterskogen barnehage"
"Askeladden steinerbarnehage", "Askeladden Steinerbarnehage"
"Billingstad barnehage SA", "Billingstad barnehage"
"Bitehagen barnehage SA", "Bitehagen barnehage"
"Bjørndalen gårdsbarnehage AS", "Bjørndalen gårdsbarnehage"
"Båstadmyra barnehage SA", "Båstadmyra barnehage"
"Furuly Bhg AS", "Furulybarnehageas"
"Hanevold Barnegård AS", "Hanevold Barnegård"
"Heggum barnehage AS", "Heggum barnehage"
"Helledammen Fus barnehage AS", "Helledammen FUS barnehage"
"Hval Gård barnehage Hvalsveien", "Hval gård barnehage Hvalsveien"
"Læringsverkstedet Velodromen idrettsbarnehage AS", "Læringsverkstedet Velodromen idrettsbarnehage"
"Mellom-Nes Fus barnehage AS", "Mellom-nes FUS barnehage"
"Morbergtoppen Fus barnehage AS", "Morbergtoppen FUS barnehage"
"Nakuhel friluftsbarnehage SA", "Nakuhel friluftsbarnehage"
"Nansentunet musikkbarnehage SA", "Nansentunet musikkbarnehage"
"Nedre Høvik Fus barnehage", "Nedre Høvik FUS barnehage"
"Nærsnes Fus barnehage SA", "Nærsnes FUS barnehage"
"Nærsnes kystbarnehage AS", "Nærsnes kystbarnehage"
"Regnbuen steinerbarnehage", "Regnbuen Steinerbarnehage"
"Rudolf Steinerbarnehagen i Asker", "Rudolf steinerbarnehagen i Asker"
"Stjernen Fus barnehage AS", "Stjernen FUS barnehage"
"Sætre Kunst & Musikk barnehage", "Sætre Kunst & musikk barnehage"
"Torp Høymyr barnehage SA", "Torp Høymyr barnehage"
"Trollstua, Frelsesarmeens barnehage i Asker AS", "Trollstua, Frelsesarmeens barnehage i Asker"
"Vardåsen barnehage SA", "Vardåsen barnehage"
"Vollen kystkulturbarnehage AS", "Vollen kystkulturbarnehage"
"Ødegården Barnehagedrift AS", "Ødegården barnehagedrift"
"Ånnerud Barnehus SA", "Ånnerud Barnehus"
"Ånnerudtoppen barnehage SA", "Ånnerudtoppen barnehage"
"Brusletta barnehage SA", "Brusletta barnehage"
"Brånåstoppen Fus barnehage", "Brånåstoppen FUS barnehage"
"Engebakken familiebarnehage Da", "Engebakken familiebarnehage"
"Hoppensprett AS Frogner aktivitetsbarnehage", "Hoppensprett Frogner aktivitetsbarnehage"
"Jensrud gårdsbarnehage AS", "Jensrud gårdsbarnehage"
"Lahaug Gårds- og naturbarnehage AS", "Lahaug gårds- og naturbarnehage"
"Lille Krabat familiebarnehage Avd Kjeller", "Lille Krabat familiebarnehage avd. Kjeller"
"Lillehagen Fus barnehage AS", "Lillehagen FUS barnehage"
"Lindeberg Fus barnehage", "Lindeberg FUS barnehage"
"Lunderåsen Fus barnehage", "Lunderåsen FUS barnehage"
"Løvehjerte Fus barnehage AS", "Løvehjerte FUS barnehage"
"Nerdrumshagen barnehage AS", "Nerdrumshagen barnehage"
"Noahs Ark barnehage AS", "Noahs Ark barnehage"
"Norlandia Sten-Tærud barnehage", "Norlandia Sten-tærud barnehage"
"Romerike barnehage - Solhaug AS", "Romerike barnehage - Solhaug"
"Romerike barnehage - Varden AS", "Romerike barnehage - Varden"
"Sennerud Fus barnehage", "Sennerud FUS barnehage"
"Sesam familiebarnehage Avd. Pelikan Naziha Nouri", "Sesam familiebarnehage avd. Pelikan Naziha Nouri"
"Skogkanten barnehage SA", "Skogkanten barnehage"
"Skolsegglia Fus barnehage AS", "Skolsegglia FUS barnehage"
"Sommerly barnehage SA", "Sommerly barnehage"
"Sølepytten barnehage AS", "Sølepytten barnehage"
"Åpen barnehage Normisjon Lillestrøm AS", "Åpen barnehage Normisjon Lillestrøm"
"Kolbotn barnehage Skolebakken", "Kolbotn barnehage skolebakken"
"Maurtua barnehage AS", "Maurtua barnehage"
"Rikeåsen barnehage SA", "Rikeåsen barnehage"
"Siggerud Gård barnehage", "Siggerud gård barnehage"
"Sofiemyråsen barnehage SA", "Sofiemyråsen barnehage"
"Svartskog friluftsbarnehage SA", "Svartskog friluftsbarnehage"
"Vevelstadsaga barnehage SA", "Vevelstadsaga barnehage"
"Åpen barnehage Avd. Kolben", "Åpen barnehage avd. Kolben"
"Bakkedalen Fus barnehage", "Bakkedalen FUS barnehage"
"Barnehage- og Vaktmester- Tjenester AS", "Barnehage- og Vaktmester- Tjenester"
"Borgen Fus barnehage", "Borgen FUS barnehage"
"Charlotte Pedersens Familiebarnehag", "Charlotte Pedersens familiebarnehag"
"Døli barnehage SA", "Døli barnehage"
"Pedersen familiebarnehage Avd. Statfram Da", "Pedersen familiebarnehage avd. Statfram"
"Hoppensprett Avd Nordkisa", "Hoppensprett avd. Nordkisa"
"Hoppensprett Avd Skogmo", "Hoppensprett avd. Skogmo"
"Hoppensprett Avd Solbakken", "Hoppensprett avd. Solbakken"
"Hoppensprett Gystad AS", "Hoppensprett Gystad"
"Hoppensprett Skogmo AS", "Hoppensprett Skogmo"
"Læringsverkstedet barnehage 3 AS", "Læringsverkstedet barnehage 3"
"Læringsverkstedet barnehage 4 AS", "Læringsverkstedet barnehage 4"
"Læringsverkstedet Stenrød barnehage AS", "Læringsverkstedet Stenrød barnehage"
"Mamma Mia barnehage AS", "Mamma Mia barnehage"
"Olstadmoen barnehage SA", "Olstadmoen barnehage"
"Rosterud familiebarnehage AS Avd 1", "Rosterud familiebarnehage avd. 1"
"Aurora steinerbarnehage", "Aurora Steinerbarnehage"
"Ellingstad barnehage AS", "Ellingstad barnehage"
"Fager Skog Fus barnehage", "Fager Skog FUS barnehage"
"Haslerud Natur familiebarnehage Are Dammann", "Haslerud natur familiebarnehage Are Dammann"
"Hellvik Barnehage, Hakkespettlia SA", "Hellvik barnehage, Hakkespettlia"
"Hind Herred AS", "Hind Herred"
"Salamanderskogen barnehage SA", "Salamanderskogen barnehage"
"Solsikken steinerbarnehage", "Solsikken Steinerbarnehage"
"Toppen Gård familiebarnehage Vilde E. Højfeldt", "Toppen gård familiebarnehage Vilde E. Højfeldt"
"Bjerkeveien barnehage SA", "Bjerkeveien barnehage"
"Drøbak Montessori barnehage AS", "Drøbak Montessori barnehage"
"Heer Grendehus barnehage SA", "Heer grendehus barnehage"
"Sogstieika barnehage SA", "Sogstieika barnehage"
"Tertitten barnehage Ans", "Tertitten barnehage"
"Barnas Sundbytoppen AS", "Barnas Sundbytoppen"
"Barnehagegården Vestby naturbarnehage AS", "Barnehagegården Vestby naturbarnehage"
"Bjørkekollen barnehage AS", "Bjørkekollen barnehage"
"Hjertehagen AS", "Hjertehagen"
"Hvitsten naturbarnehage SA", "Hvitsten naturbarnehage"
"Hølen Fus barnehage AS", "Hølen FUS barnehage"
"Johnsrudhuset barnehage AS", "Johnsrudhuset barnehage"
"Skaug barnehage AS", "Skaug barnehage"
"Sole Skog barnehage AS", "Sole Skog barnehage"
"Solåsen Fus barnehage AS", "Solåsen FUS barnehage"
"Do-Re-Mi Musikk familiebarnehage", "Do-re-mi musikk familiebarnehage"
"Dysterlia barnehage SA", "Dysterlia barnehage"
"Haugtussa steinerbarnehage", "Haugtussa Steinerbarnehage"
"Kroerbarnehagen Da", "Kroerbarnehagen"
"Løvstad naturbarnehage SA", "Løvstad naturbarnehage"
"Moerlia barnehage SA", "Moerlia barnehage"
"Orrestien barnehage AS", "Orrestien barnehage"
"Pingvinen familiebarnehage Da", "Pingvinen familiebarnehage"
"Sjøskogen foreldrelagsbarnehage Da", "Sjøskogen foreldrelagsbarnehage"
"Bergskaug Fus barnehage AS", "Bergskaug FUS barnehage"
"Hauglia barnehage SA", "Hauglia barnehage"
"Mari naturbarnehage SA", "Mari naturbarnehage"
"Melgård barnehage SA", "Melgård barnehage"
"Mjær Fus barnehage AS", "Mjær FUS barnehage"
"Nlm-Barnehage Emaus AS", "Nlm-barnehage Emaus"
"Nylende barnehage SA", "Nylende barnehage"
"Østmarkskollen Fus barnehage AS", "Østmarkskollen FUS barnehage"
"Ahus-Barnehagene Barnehage 1", "Ahus-barnehagene barnehage 1"
"Fjellhamar Gård barnehage", "Fjellhamar gård barnehage"
