"NBR name", "new name"
"Lillohagen Fus barnehage AS", "Lillohagen FUS barnehage"
"Lillohøyden Fus barnehage AS", "Lillohøyden FUS barnehage"
"Linden steinerbarnehage", "Linden Steinerbarnehage"
"Linderud Gård barnehage", "Linderud gård barnehage"
"Ljan Kirkes barnehage", "Ljan kirkes barnehage"
"Lovisenberg Diakonale barnehage AS", "Lovisenberg Diakonale barnehage"
"Lunden barnehage AS", "Lunden barnehage"
"Lykketrollet barnehage AS", "Lykketrollet barnehage"
"Lykketrollet familiebarnehage Avdeling Anna Rogstads Vei AS", "Lykketrollet familiebarnehage avd. Anna Rogstads vei"
"Lykketrollet familiebarnehage Avdeling Bentsegata AS", "Lykketrollet familiebarnehage avd. Bentsegata"
"Lykketrollet familiebarnehage Avdeling Bogerudveien 25 AS", "Lykketrollet familiebarnehage avd. Bogerudveien 25"
"Lykketrollet familiebarnehage Avdeling Bogerudveien 27 AS", "Lykketrollet familiebarnehage avd. Bogerudveien 27"
"Lykketrollet familiebarnehage Avdeling Dalbakkveien AS", "Lykketrollet familiebarnehage avd. Dalbakkveien"
"Lykketrollet familiebarnehage Avdeling Eltonveien AS", "Lykketrollet familiebarnehage avd. Eltonveien"
"Lykketrollet familiebarnehage Avdeling Frydens Gate AS", "Lykketrollet familiebarnehage avd. Frydens Gate"
"Lykketrollet familiebarnehage Avdeling Kildeveien AS", "Lykketrollet familiebarnehage avd. Kildeveien"
"Lykketrollet familiebarnehage Avdeling Krokliveien AS", "Lykketrollet familiebarnehage avd. Krokliveien"
"Lykketrollet familiebarnehage Avdeling Stordamveien AS", "Lykketrollet familiebarnehage avd. Stordamveien"
"Lykketrollet familiebarnehage Avdeling Sverdrupsgate AS", "Lykketrollet familiebarnehage avd. Sverdrupsgate"
"Lykketrollet familiebarnehage Avdeling Ulsrudveien AS", "Lykketrollet familiebarnehage avd. Ulsrudveien"
"Lykketrollet familiebarnehage Avdeling Vogts Gate 32A AS", "Lykketrollet familiebarnehage avd. Vogts Gate 32a"
"Lykketrollet familiebarnehage Avdeling Vogts Gate 32B AS", "Lykketrollet familiebarnehage avd. Vogts Gate 32b"
"Lykketrollet familiebarnehage Avdeling Vogts Gate 32C AS", "Lykketrollet familiebarnehage avd. Vogts Gate 32c"
"Lykketrollet familiebarnehage Avdeling Åkerøveien AS", "Lykketrollet familiebarnehage avd. Åkerøveien"
"Læringsverkstedet Grefsen Terrasse naturbarnehage", "Læringsverkstedet Grefsen terrasse naturbarnehage"
"Mariannes Hus AS", "Mariannes Hus"
"Maridalen barnehage SA", "Maridalen barnehage"
"Marienlyst Gård barnehage", "Marienlyst gård barnehage"
"Maurtua Familiebarnehage", "Maurtua familiebarnehage"
"Maurtua private familiebarnehage AS Avd Beverveien", "Maurtua private familiebarnehage avd. Beverveien"
"Maurtua private familiebarnehage AS Avd Rabbeveien", "Maurtua private familiebarnehage avd. Rabbeveien"
"Maurtua private familiebarnehage AS Avd Nordalveien", "Maurtua private familiebarnehage avd. Nordalveien"
"Mikaelgården steinerbarnehage", "Mikaelgården Steinerbarnehage"
"Mosaikk Urtehagen barnehager AS", "Mosaikk Urtehagen barnehager"
"Måltrosten barnehage AS", "Måltrosten barnehage"
"Nedre Fossum Gård barnehage", "Nedre Fossum gård barnehage"
"Nedre Fossum Gård åpen barnehage", "Nedre Fossum gård åpen barnehage"
"Nemo familiebarnehage Filiz Göcücü Avd Rødtvedt", "Nemo familiebarnehage Filiz Göcücü avd. Rødtvedt"
"Nordre Skøyen barnehage SA", "Nordre Skøyen barnehage"
"Nordstrand Kirkes barnehage", "Nordstrand kirkes barnehage"
"Nordtvet Gård barnehage AS", "Nordtvet gård barnehage"
"Nrk Barnehagen Oslo SA", "Nrk barnehagen Oslo"
"Nydalen barnehage SA", "Nydalen barnehage"
"Ole Brumm barnehage AS", "Ole Brumm barnehage"
"Ragnas Hage AS", "Ragnas Hage"
"Revehiet familiebarnehage AS", "Revehiet familiebarnehage"
"Ringnes Park Fus barnehage AS", "Ringnes Park FUS barnehage"
"Rishaven menighetsbarnehage AS", "Rishaven menighetsbarnehage"
"Ruseløkka barnehage AS", "Ruseløkka barnehage"
"Ruseløkka familiebarnehage AS", "Ruseløkka familiebarnehage"
"Rustad Gård barnehage", "Rustad gård barnehage"
"Rustadsaga barnehage SA", "Rustadsaga barnehage"
"Røahagan familiebarnehage AS", "Røahagan familiebarnehage"
"Sandakerveien Fus barnehage AS", "Sandakerveien FUS barnehage"
"Saturn Familiebarnehager", "Saturn familiebarnehager"
"Scala private barnehage SA", "Scala private barnehage"
"Schafteløkken Menighets barnehage", "Schafteløkken menighets barnehage"
"Seilduken barnehage A/L", "Seilduken barnehage A/l"
"Sigurdsgate familiebarnehage AS", "Sigurdsgate familiebarnehage"
"Sinsen Fus barnehage AS", "Sinsen FUS barnehage"
"Sinsen Kirkes barnehage", "Sinsen kirkes barnehage"
"Sjøutsikten familiebarnehage Hernandez-Lillebekk", "Sjøutsikten familiebarnehage Hernandez-lillebekk"
"Skauen barnehage SA", "Skauen barnehage"
"Skogfuglen barnehage AS", "Skogfuglen barnehage"
"Skogkanten barnehage AS", "Skogkanten barnehage"
"Skogly - Sio barnehage AS", "Skogly - Sio barnehage"
"Skytterbanen Fus barnehage AS", "Skytterbanen FUS barnehage"
"Skøyen Terrasse barnehage", "Skøyen terrasse barnehage"
"Slime Gård barnehage", "Slime gård barnehage"
"Smedbakken Fus barnehage AS", "Smedbakken FUS barnehage"
"Smedstua Gård barnehage", "Smedstua gård barnehage"
"Snippen Fus barnehage", "Snippen FUS barnehage"
"Solbakken barnehage SA", "Solbakken barnehage"
"Solemskogen naturbarnehage SA", "Solemskogen naturbarnehage"
"Sollerud barnehage SA", "Sollerud barnehage"
"Solrosen steinerbarnehage AS", "Solrosen Steinerbarnehage"
"Stallen barnehage SA", "Stallen barnehage"
"Starveien barnehage SA", "Starveien barnehage"
"Stiftelsen Ljabru Gård steinerbarnehage", "Stiftelsen Ljabru gård Steinerbarnehage"
"Stiftelsen Nvh-Barnehagen", "Stiftelsen Nvh-barnehagen"
"Stjerneblokkveien private barnehage AS", "Stjerneblokkveien private barnehage"
"Store Ljan barnehage SA", "Store Ljan barnehage"
"Studentenes Småbarnstue - Sio barnehage AS", "Studentenes Småbarnstue - Sio barnehage"
"Stålverkskroken barnehage AS", "Stålverkskroken barnehage"
"Svenstuen Barnehave", "Svenstuen barnehave"
"Søndre Dal Gård barnehage", "Søndre Dal gård barnehage"
"Teisentoppen, Frelsesarmeens barnehage i Oslo AS", "Teisentoppen, Frelsesarmeens barnehage i Oslo"
"Tomm Murstad friluftsbarnehage AS", "Tomm Murstad friluftsbarnehage"
"Tommlekollen friluftsbarnehage AS", "Tommlekollen friluftsbarnehage"
"Tonsenhagen barnehage AS", "Tonsenhagen barnehage"
"Toppen familiebarnehage Cb AS", "Toppen familiebarnehage Cb"
"Trollungene familiebarnehage AS", "Trollungene familiebarnehage"
"Trosteredet barnehage SA", "Trosteredet barnehage"
"Trudes Familiebarnehage Trude Gulbrandsen", "Trudes familiebarnehage Trude Gulbrandsen"
"Turi Sletners Barnehave AS", "Turi Sletners barnehave"
"Tåsen Skoles barnehage SA", "Tåsen skoles barnehage"
"Ullern Åpne barnehage", "Ullern åpne barnehage"
"Ulvestua barnehage SA", "Ulvestua barnehage"
"Ulvøya barnehage AS", "Ulvøya barnehage"
"Vassenga Fus barnehage AS", "Vassenga FUS barnehage"
"Veksthusfløtten familiebarnehage AS", "Veksthusfløtten familiebarnehage"
"Venkes Familiebarnehage Venke Anita Fredstad", "Venkes familiebarnehage Venke Anita Fredstad"
"Vestliskaret Fus barnehage AS", "Vestliskaret FUS barnehage"
"Villa Utsikten Frilufts- og idrettsbarnehage AS", "Villa Utsikten Frilufts- og idrettsbarnehage"
"Vækerø Gård Kanvas-barnehage", "Vækerø gård Kanvas-barnehage"
"Økernly barnehage AS", "Økernly barnehage"
"Øraker barnehage AS", "Øraker barnehage"
"Østensjøstua barnehage SA", "Østensjøstua barnehage"
"Årvollskogen barnehage AS", "Årvollskogen barnehage"
"Eigerøy barnehage SA", "Eigerøy barnehage"
"Helleland Fus barnehage", "Helleland FUS barnehage"
"Kiellandskogen Fus barnehage", "Kiellandskogen FUS barnehage"
"Raketten barnehage SA", "Raketten barnehage"
"Robåten Fus barnehage AS", "Robåten FUS barnehage"
"Skattekisten kulturbarnehage AS", "Skattekisten kulturbarnehage"
"Varden barnehage SA", "Varden barnehage"
"Auglendsdalen, Frelsesarmeens barnehage i Stavanger AS", "Auglendsdalen, Frelsesarmeens barnehage i Stavanger"
"Bamsebu barnehage SA", "Bamsebu barnehage"
"Biå steinerbarnehage AS Avd Storhaug", "Biå Steinerbarnehage avd. Storhaug"
"Byfjordparken barnehage AS", "Byfjordparken barnehage"
"Byhaugen barnehage SA", "Byhaugen barnehage"
"Dansehagen åpen barnehage AS", "Dansehagen åpen barnehage"
"Dragaberget barnehage SA", "Dragaberget barnehage"
"Dusavik barnehage SA", "Dusavik barnehage"
"Egenes idrettsbarnehage AS", "Egenes idrettsbarnehage"
"Espira Fjellsenden AS", "Espira Fjellsenden"
"Espira Tastarustå AS", "Espira Tastarustå"
"Frøystad barnehage SA", "Frøystad barnehage"
"Gauselbakken barnehage SA", "Gauselbakken barnehage"
"Hakkebakkeskogen private barnehage Tjensvoll AS", "Hakkebakkeskogen private barnehage Tjensvoll"
