barnehagefakta.get - WARNING - Change in response for id=989939408, archiving old result
barnehagefakta.get - WARNING - Change in response for id=916469535, archiving old result
barnehagefakta.get - WARNING - Change in response for id=916469543, archiving old result
barnehagefakta.get - WARNING - Change in response for id=994408127, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973459813, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992585277, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975295389, archiving old result
barnehagefakta.get - WARNING - Change in response for id=976796519, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988893293, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989481584, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975311740, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974753375, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973346121, archiving old result
