barnehagefakta.get - WARNING - Change in response for id=974611112, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974610981, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974611201, archiving old result
barnehagefakta.get - WARNING - Change in response for id=874610992, archiving old result
barnehagefakta.get - WARNING - Change in response for id=874611182, archiving old result
barnehagefakta.get - WARNING - Change in response for id=998400058, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974610728, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974611155, archiving old result
barnehagefakta.get - WARNING - Change in response for id=972397873, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974798670, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989305174, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974611007, archiving old result
barnehagefakta.get - WARNING - Change in response for id=929838920, archiving old result
barnehagefakta.get - WARNING - Change in response for id=885472672, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988726206, archiving old result
barnehagefakta.get - WARNING - Change in response for id=873263792, archiving old result
barnehagefakta.get - WARNING - Change in response for id=994234331, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973857606, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991581189, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993003352, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993003301, archiving old result
barnehagefakta.get - WARNING - Change in response for id=983639534, archiving old result
barnehagefakta.get - WARNING - Change in response for id=983093167, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974611031, archiving old result
barnehagefakta.get - WARNING - Change in response for id=980760618, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973861905, archiving old result
barnehagefakta.get - WARNING - Change in response for id=913825721, archiving old result
barnehagefakta.get - WARNING - Change in response for id=986434283, archiving old result
barnehagefakta.get - WARNING - Change in response for id=874611042, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974611058, archiving old result
