# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Evenskjer barnehage", "Dielddanuori Suohkan - Tjeldsund kommune", "1013692"
"Kanutten barnehage", "Dielddanuori Suohkan - Tjeldsund kommune", "1015946"
"Kongsvik barnehage", "Dielddanuori Suohkan - Tjeldsund kommune", "1025340"
"Ramsund barnehage", "Dielddanuori Suohkan - Tjeldsund kommune", "1013683"
"Ressan barnehage", "Dielddanuori Suohkan - Tjeldsund kommune", "1013693"
"Sandstrand oppvekstsenter Avd barnehage", "Dielddanuori Suohkan - Tjeldsund kommune", "1013923"
"Vardobaiki AS Markomanak barnehage", "Vardobaiki AS", "1015944"
