# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Barnehagane Fellesfunksjonar", "Voss Herad", "1019527"
"Bjørgamarka barnehage", "Voss Herad", "1012851"
"Bolstad barnehage", "Voss Herad", "2000673"
"Bordalen barnehage Sa", "Bordalen barnehage Sa", "1019699"
"Bulken barnehage", "Voss Herad", "1016198"
"Evanger barnehage", "Voss Herad", "1018116"
"Gjernes barnehage", "Voss Herad", "1012850"
"Hauge barnehage", "Voss Herad", "1017487"
"Klausabakken barnehage", "Voss Herad", "1012849"
"Kløve barnehage", "Voss Herad", "1012848"
"Læringsverkstedet barnehage Avd Tvildemoen", "Læringsverkstedet AS", "1020446"
"Mønshaugen barnehage", "Mønshaugen barnehage Sa", "1020120"
"Regnbogen Natur og Kulturbarnehage AS", "Regnbogen Natur og Kulturbarnehage AS", "1021916"
"Rogne barnehage", "Rogne barnehage", "1020154"
"Skulestad barnehage Sa", "Skulestad barnehage Sa", "1021082"
"Sundve Fus barnehage AS", "Sundve Fus barnehage AS", "1021906"
"Tueteigen barnehage", "Voss Herad", "1018115"
"Vetlebarnehagen AS", "Vetlebarnehagen AS", "1022286"
"Vonheim Open barnehage", "Voss Kfuk - Kfum", "1020375"
"Voss barnehage", "Voss Herad", "1014032"
