# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Askeladden barnehage Sa", "Askeladden barnehage Sa", "1022027"
"Ballangen barnehage", "Narvik kommune", "1013684"
"Banktrollet barnehage Sa", "Banktrollet barnehage Sa", "1019822"
"Barnebo barnehage", "Narvik kommune", "1016926"
"Barnehagen Viktoriahavn AS", "Barnehagen Victoriahavn AS", "1021948"
"Beisfjord Fus barnehage AS", "Beisfjord Fus barnehage AS", "1026498"
"Bjerkvik barnehage", "Narvik kommune", "1013649"
"Bjørkvang barnehage", "Hoppensprett Narvik AS", "1020245"
"Bjørkåshøgda Familiebarnehage Ved Tove Ærø", "Bjørkåshøgda Familiebarnehage Ved Tove Ærø", "1020265"
"Bondegården Familiebarnehage Sissel Myre Arntsen", "Bondegården Familiebarnehage Sissel Myre Arntsen", "1021885"
"Bøstrand barnehage", "Narvik kommune", "1015055"
"Emmenes barnehage", "Narvik kommune", "1013650"
"Flåklypa barnehage", "Narvik kommune", "1012569"
"Furutoppen barnehage", "Narvik Foreldrelagsbarnehage Sa", "1020246"
"Grønnlia Gårdsbarnehage AS", "Grønnlia Gårdsbarnehage AS", "1021933"
"Hoppensprett Narvik AS", "Hoppensprett Narvik AS", "1021566"
"Jaklamyra barnehage", "Jaklamyra barnehage Sa", "1019972"
"Malmklumpen barnehage Sa", "Malmklumpen barnehage Sa", "1019745"
"Måseveien barnehage", "Narvik kommune", "1013294"
"Norges Arktiske Studentsamskipnad Soria Moria barnehage", "Norges Arktiske Studentsamskipnad", "1016002"
"Pingvinn barnehage", "Pingvinn barnehage Sa", "1019667"
"Pæsatun barnehage", "Narvik kommune", "1013681"
"Rallarn barnehage", "Narvik kommune", "1014992"
"Skarpen barnehage", "Narvik kommune", "1025414"
"Skistua barnehage", "Narvik kommune", "1014684"
"Skjomen barnehage", "Narvik kommune", "1015941"
"Stollen barnehage", "Narvik kommune", "1013163"
"Trollhaugen Familiebarnehage AS", "Trollhaugen Familiebarnehage AS", "1020172"
"Ørarampen barnehage AS", "Ørarampen barnehage AS", "1022172"
