barnehagefakta.get - WARNING - Change in response for id=992835559, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975322017, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975300846, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975314812, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975311945, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973476076, archiving old result
barnehagefakta.get - WARNING - Change in response for id=972156507, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973502948, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973984667, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975268128, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992433833, archiving old result
barnehagefakta.get - WARNING - Change in response for id=926248405, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875311972, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975311988, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975311996, archiving old result
