# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Kjeldbakken Familiebarnehage", "Britt Eriksen", "1020041"
"Kremmerhuset barnehage Sa", "Kremmerhuset barnehage Sa", "1020113"
"Marihøne Montessori barnehage", "Mari Østby-Deglum", "1021038"
"Nordheim Friluftsbarnehage Sa", "Nordheim Friluftsbarnehage Sa", "1020653"
"Nydal Familiebarnehage", "Hege Lund-Asphaug", "1020659"
"Providor barnehage", "Øverkvern Fus barnehage AS", "1021972"
"Simenstua barnehage", "Ringsaker kommune", "1015096"
"Tunet barnehage AS", "Tunet barnehage AS", "1020837"
"Tunvold Familiebarnehage AS", "Tunvold Familiebarnehage AS", "1022249"
"Vesleparken barnehage", "Ringsaker kommune", "1017562"
