barnehagefakta.get - WARNING - Change in response for id=976979591, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975321932, archiving old result
barnehagefakta.get - WARNING - Change in response for id=972280747, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975313719, archiving old result
barnehagefakta.get - WARNING - Change in response for id=976979397, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975324346, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975322467, archiving old result
barnehagefakta.get - WARNING - Change in response for id=882568202, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975322475, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974061643, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975317900, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989976621, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975321959, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973494007, archiving old result
