barnehagefakta.get - WARNING - Change in response for id=975290905, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973383531, archiving old result
barnehagefakta.get - WARNING - Change in response for id=997466152, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975310671, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875295322, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975325202, archiving old result
barnehagefakta.get - WARNING - Change in response for id=874336742, archiving old result
barnehagefakta.get - WARNING - Change in response for id=983477607, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988226750, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974745577, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975310655, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988715425, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973873741, archiving old result
barnehagefakta.get - WARNING - Change in response for id=986131523, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974205076, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974187574, archiving old result
barnehagefakta.get - WARNING - Change in response for id=977381088, archiving old result
