# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Bergly Familiebarnehage", "Solsikkene Barnehager AS", "1015669"
"Dalen Fus barnehage AS", "Dalen Fus barnehage AS", "1021966"
"Furuly barnehage", "Stord kommune", "1017371"
"Heiane barnehage", "Hero Norge AS", "1017089"
"Kåreviksmarka Fus barnehage", "Kåreviksmarka Fus barnehage AS", "1021052"
"Læringsverkstedet barnehage Avd Sæ barnehage", "Læringsverkstedet AS", "1022187"
"Naustvågen barnehage", "Naustvågen barnehage", "1020643"
"Nordbygdo Fus barnehage AS Avd Tyse", "Nordbygdo Fus barnehage AS", "1022348"
"Nordbygdo Fus barnehage AS Avd Prestagardskogen", "Nordbygdo Fus barnehage AS", "1020544"
"Olderdalen Fus barnehage", "Olderdalen Fus Kulturbarnehage AS", "1021560"
"Sagvåg barnehage Avd Tjødnalio", "Stord kommune", "1013798"
"Sagvåg barnehage Avd Nysæter", "Stord kommune", "1014712"
"Sagvåg Maritime Fus barnehage AS", "Sagvåg Maritime Fus barnehage AS", "1021736"
"Skogatufto barnehage", "Stord kommune", "1017370"
"Stuastølen Gardsbarnehage", "Solsikkene Barnehager AS", "1016951"
"Sævarhagen Fus barnehage AS", "Sævarhagen Fus barnehage AS", "1021518"
"Trodlahaugen barnehage", "Stord kommune", "1018106"
"Valvatna Fus barnehage", "Valvatna Fus barnehage AS", "1021053"
"Villvettene Friluftsbarnehage avd Rommetveit AS", "Villvettene Friluftsbarnehage avd Rommetveit AS", "1021622"
"Villvettene Friluftsbarnehage Da", "Villvettene Friluftsbarnehage Da", "1021045"
"Ås barnehage", "Opero AS", "1013366"
