barnehagefakta.get - WARNING - Change in response for id=1022032, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017207, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021590, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021490, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025501, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020727, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017603, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016976, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013949, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020383, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000077, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021607, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025318, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016647, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014019, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013565, archiving old result
