# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Aursmoen barnehage", "Aurskog-Høland kommune", "1012790"
"Barnehagegården AS", "Barnehagegården AS", "1021790"
"Bråtebakken barnehage", "Aurskog-Høland kommune", "1012791"
"Burholtoppen barnehage", "Aurskog-Høland kommune", "1012792"
"Ekeberg barnehage Lena Margrethe Fåberg", "Ekeberg barnehage Lena Margrethe Fåberg", "1020264"
"Epletunet barnehage AS Avd Trampen", "Epletunet barnehage AS", "2000357"
"Epletunet barnehage AS", "Epletunet barnehage AS", "1020773"
"Festningsåsen barnehage", "Aurskog-Høland kommune", "1017872"
"Flatbyjordet barnehage", "Aurskog-Høland kommune", "1017942"
"Hofmoen barnehage", "Løken Sokn", "1015573"
"Kjelle Gårdsbarnehage", "Viken fylkeskommune", "1014009"
"Lundebygrenda barnehage", "Lundebygrenda barnehage AS", "1021332"
"Løken barnehage Avdeling Bjørkely", "Aurskog-Høland kommune", "1017943"
"Løken barnehage Avd Gruslinna", "Aurskog-Høland kommune", "1015998"
"Ole Brumm barnehage Aurskog AS", "Ole Brumm barnehage Aurskog AS", "1020793"
"Plommehagen barnehage Kolstad", "Plommehagen barnehage Kolstad", "1021424"
"Rømskog barnehage", "Aurskog-Høland kommune", "1017517"
"Setskog oppvekstsenter Avd barnehage", "Aurskog-Høland kommune", "1015997"
"Svanhild Vormeland", "Svanhild Vormeland", "1026595"
