barnehagefakta.get - WARNING - Change in response for id=979150237, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990721726, archiving old result
barnehagefakta.get - WARNING - Change in response for id=984033915, archiving old result
barnehagefakta.get - WARNING - Change in response for id=998710030, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993336122, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990233977, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988414557, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975308332, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991956484, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975308359, archiving old result
barnehagefakta.get - WARNING - Change in response for id=920273955, archiving old result
