barnehagefakta.get - WARNING - Change in response for id=1016928, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015558, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022223, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014777, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021033, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016577, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016212, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020689, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020390, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014979, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021031, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016725, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021055, archiving old result
