# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Austmarka barnehage Sa", "Austmarka barnehage Sa", "1020040"
"Brandval barnehage", "Kongsvinger kommune", "1012750"
"Eskoleia barnehage", "Eskoleia AS", "1014015"
"Langeland barnehage", "Kongsvinger kommune", "1012746"
"Lia barnehage Sa", "Lia barnehage Sa", "1019955"
"Marikollen barnehage", "Kongsvinger kommune", "1017241"
"Myrulla barnehage", "Roverud barnehage Sa", "1019953"
"Puttara Fus barnehage AS", "Puttara Fus barnehage AS", "1022111"
"Vangen barnehage", "Kongsvinger kommune", "1012748"
"Vinger barnehage Avd Amundheimet", "Kongsvinger kommune", "1016017"
"Vinger barnehage Avd Vennersberg", "Kongsvinger kommune", "1012747"
