barnehagefakta.get - WARNING - Change in response for id=987495065, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973494899, archiving old result
barnehagefakta.get - WARNING - Change in response for id=919129026, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973766066, archiving old result
barnehagefakta.get - WARNING - Change in response for id=982248752, archiving old result
barnehagefakta.get - WARNING - Change in response for id=985940398, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974542749, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974542730, archiving old result
barnehagefakta.get - WARNING - Change in response for id=998439086, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991053298, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993239372, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975185117, archiving old result
barnehagefakta.get - WARNING - Change in response for id=918317325, archiving old result
barnehagefakta.get - WARNING - Change in response for id=982454689, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973754769, archiving old result
