barnehagefakta.get - WARNING - Change in response for id=973982729, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875303732, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975303748, archiving old result
barnehagefakta.get - WARNING - Change in response for id=985085536, archiving old result
barnehagefakta.get - WARNING - Change in response for id=888484582, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991726004, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975300927, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975315185, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875321692, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975337170, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973469770, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975303780, archiving old result
barnehagefakta.get - WARNING - Change in response for id=885466532, archiving old result
