barnehagefakta.get - WARNING - Change in response for id=987078537, archiving old result
barnehagefakta.get - WARNING - Change in response for id=931420739, archiving old result
barnehagefakta.get - WARNING - Change in response for id=887946132, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973025406, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975301699, archiving old result
barnehagefakta.get - WARNING - Change in response for id=812764772, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990869812, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975301702, archiving old result
barnehagefakta.get - WARNING - Change in response for id=876009072, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974825368, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975301710, archiving old result
