barnehagefakta.get - WARNING - Change in response for id=988320684, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975296555, archiving old result
barnehagefakta.get - WARNING - Change in response for id=980472922, archiving old result
barnehagefakta.get - WARNING - Change in response for id=911723891, archiving old result
barnehagefakta.get - WARNING - Change in response for id=987374446, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992539712, archiving old result
barnehagefakta.get - WARNING - Change in response for id=924301236, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973481681, archiving old result
barnehagefakta.get - WARNING - Change in response for id=824301352, archiving old result
barnehagefakta.get - WARNING - Change in response for id=924301147, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989118528, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990928525, archiving old result
barnehagefakta.get - WARNING - Change in response for id=932793156, archiving old result
barnehagefakta.get - WARNING - Change in response for id=930377155, archiving old result
barnehagefakta.get - WARNING - Change in response for id=930232025, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875268392, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991647724, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993921890, archiving old result
barnehagefakta.get - WARNING - Change in response for id=932405911, archiving old result
barnehagefakta.get - WARNING - Change in response for id=832405922, archiving old result
barnehagefakta.get - WARNING - Change in response for id=998432847, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992769475, archiving old result
barnehagefakta.get - WARNING - Change in response for id=998439108, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992769467, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989965646, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991542612, archiving old result
barnehagefakta.get - WARNING - Change in response for id=928577503, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988629626, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992391219, archiving old result
barnehagefakta.get - WARNING - Change in response for id=984626738, archiving old result
barnehagefakta.get - WARNING - Change in response for id=987431911, archiving old result
barnehagefakta.get - WARNING - Change in response for id=986344632, archiving old result
barnehagefakta.get - WARNING - Change in response for id=894913592, archiving old result
