# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Austertana oppvekstsenter Avdeling barnehage", "Deanu Gielda / Tana kommune", "1016572"
"Boftsa oppvekstsenter Avdeling barnehage", "Deanu Gielda / Tana kommune", "1014791"
"Deanu Samiid Searvi", "Deanu Samiid Searvi", "1019824"
"Sami Baikegottiid Guovddas - Samisk Bygdesenter", "Sami Baikegottiid Guovddas - Samisk Bygdesenter", "1021499"
"Sirpma Manaidgardi", "Deanu Gielda / Tana kommune", "1015073"
"Tanabru barnehage", "Deanu Gielda / Tana kommune", "1013738"
