# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Gapahuken barnehage AS", "Gapahuken barnehage AS", "1021042"
"Gjennestad barnehage", "Gjennestad barnehage", "1021327"
"Helgerød barnehage AS", "Helgerød barnehage AS", "1020765"
"Holtegrenda Gårdsbarnehage AS", "Holtegrenda Gårdsbarnehage AS", "1021471"
"Hunsrød Fevang barnehage Sa Avd Hunsrødgrenda", "Hunsrød-Fevang barnehage Sa", "1020612"
"Hunsrød-Fevang barnehage Sa Avd Lingelemveien", "Hunsrød-Fevang barnehage Sa", "1026105"
"Høgenhall barnehage Sa", "Høgenhall barnehage Sa", "1020061"
