# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Breidablikk Kanvas-Barnehage", "Stiftelsen Kanvas", "1015478"
"Elverhøy barnehage", "Sandefjord kommune", "1018028"
"Epleblomsten Steinerbarnehage i Sandefjord", "Rudolf Steinerbarnehagen i Sandefjord", "1020310"
"Espira Åbol barnehage", "Espira Åbol AS", "1021833"
"Feen barnehage", "Sandefjord kommune", "1014137"
"Frydenberg barnehage", "Sandefjord kommune", "1014691"
"Furustad barnehage Sa", "Furustad barnehage Sa", "1019903"
"Gapahuken barnehage AS", "Gapahuken barnehage AS", "1021042"
"Gjekstad Kanvas-Barnehage", "Stiftelsen Kanvas", "1015477"
"Gjennestad barnehage", "Gjennestad barnehage", "1021327"
"Hunsrød-Fevang barnehage Sa Avd Lingelemveien", "Hunsrød-Fevang barnehage Sa", "1026105"
