# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Dal Gård Åpen barnehage", "Brunstad Kristelige Menighet Horten", "1020681"
"Familiebarnehage Strandparken", "Horten kommune", "1019645"
"Hakkebakkeskogen barnehage", "Baggerød barnehage AS", "1016293"
"Skånetoppen barnehage Da", "Skånetoppen barnehage Da", "1021430"
"Studentsamskipnaden i Sørøst-Norge Start Studentbarnehage", "Studentsamskipnaden i Sørøst-Norge", "1013077"
"Viulsrød barnehage AS", "Viulsrød barnehage AS", "1022383"
