barnehagefakta.get - WARNING - Change in response for id=1013970, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020882, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021486, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022408, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000016, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025470, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022225, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017967, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000290, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021812, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017969, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021356, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021350, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000057, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021273, archiving old result
