# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Espira Kuventræ barnehage", "Espira Kuventræ AS", "1021443"
"Espira Ulvenvatnet barnehage", "Espira Barnehager AS", "1021939"
"Eventus Borgafjell barnehage AS", "Eventus Borgafjell barnehage AS", "1021953"
"Flåten Naturbarnehage AS", "Flåten Naturbarnehage AS", "1022167"
"Hegglandsdalen barnehage", "Hegglandsdalen Barnehagelag Sa", "1019798"
"Hjellemarka Fus barnehage AS", "Hjellemarka Fus barnehage AS", "1021738"
"Lysekloster barnehage", "Os kommune", "1025476"
"Læringsverkstedet barnehage Avd Kuvågen", "Læringsverkstedet AS", "1021094"
"Os barnehage", "Os kommune", "1018117"
"Skeisbotnen barnehage AS", "Skeisbotnen barnehage AS", "1022074"
"Skorvane Fus barnehage AS", "Skorvane Fus barnehage AS", "1021995"
"Sælehaugen barnehage AS", "Sælehaugen barnehage AS", "1021242"
"Søre Neset Fus barnehage AS", "Søre Neset Fus barnehage AS", "1021589"
"Søre Øyane Grendalag Naturbarnehage Sa", "Søre Øyane Grendalag Naturbarnehage Sa", "1020777"
