# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Alba Gruppen AS", "Alba Gruppen AS", "1025721"
"Brundalen Barnehager", "Trondheim kommune", "1019559"
"Elgeseter Barnehager", "Trondheim kommune", "1019553"
"Elin Theresa Næve Burkeland", "Elin Theresa Næve", "1020634"
"Elsterparken Familiebarnehage Lin Karin Stornes", "Elsterparken Familiebarnehage Lin Karin Stornes", "1021744"
"Flatås Tove Lisbeth Thorolvsen", "Flatås Tove Lisbeth Thorolvsen", "1021931"
"Flatåsen Barnehager", "Trondheim kommune", "1025442"
"Haukvatnet Friluftsbarnehager", "Trondheim kommune", "1019555"
"Hitraveien Familiebarnehage", "Hitraveien Familiebarnehage Verkland", "1021063"
"Hommelia Fus barnehage AS", "Hommelia Fus barnehage AS", "1021994"
"Lykkmarka Familiebarnehage Anita Berge", "Lykkmarka Familiebarnehage Anita Berge", "1021926"
"Rosenborg Barnehageforening", "Rosenborg Barnehageforening", "1020148"
"Sentrum Barnehager", "Trondheim kommune", "1019552"
"Stabbursmoen Familiebarnehage Da", "Stabbursmoen Familiebarnehage Da", "1021414"
"Stubban Familiebarnehage Marit Gjelvold", "Stubban Familiebarnehage Marit Gjelvold", "1021423"
"Studentsamskipnaden i Gjøvik, Ålesund og Trondheim", "Studentsamskipnaden i Gjøvik, Ålesund og Trondheim", "1019511"
"Thyra Barnehager", "Trondheim kommune", "1019551"
"Tuppen og Lillemor Familiebarnehage Da", "Tuppen og Lillemor Familiebarnehage Da", "1021456"
"Valentinlyst Familiebarnehage Britt Randi Bjøntegaard", "Valentinlyst Familiebarnehage Britt Randi Bjøntegaard", "1021250"
"Varmbo Familiebarnehage", "Varmbo Familiebarnehage Trude Jenssen", "1021136"
"Vikelva Familiebarnehage Line Berger", "Vikelva Familiebarnehage Line Berger", "1022009"
"Øvre Flatåsen Familiebarnehage", "Øvre Flatåsen Familiebarnehage Bente Riksfjord", "1021071"
