# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Ifokus barnehage og Administrasjon", "Ifokus Barnehagene AS", "2000359"
"Knøttene Familiebarnehage", "Nielsen Monika Sundbakk", "1020633"
"Melendez Vikartjeneste Ernesto Antonio Melendez Figueroa", "Melendez Vikartjeneste Ernesto Antonio Melendez Figueroa", "2000012"
"Sentrumssatellitten barnehage", "Larvik kommune", "1017831"
"Thor Heyerdahl barnehage", "Larvik kommune", "1013115"
"Tjølling Åpen barnehage", "Larvik kommune", "1025679"
"Torstrand barnehage", "Larvik kommune", "1016848"
"Trollsteinen barnehage Sa", "Trollsteinen barnehage Sa", "1019982"
"Tun barnehage", "Larvik kommune", "1012809"
"Ulåsen barnehage", "Larvik kommune", "1012810"
"Valby barnehage", "Larvik kommune", "1012811"
"Varden barnehage", "Larvik kommune", "1012812"
"Veldre Kulturbarnehage", "Larvik kommune", "1012813"
"Villa-Kulla barnehage Hilde Saga", "Villa-Kulla barnehage Hilde Saga", "1020638"
"Vårtun barnehage", "Vårtun barnehage", "1019716"
