barnehagefakta.get - WARNING - Change in response for id=1021312, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017528, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017529, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020817, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015649, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025495, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020360, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020046, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013808, archiving old result
