# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Barnas Hus AS", "Barnas Hus AS", "1020606"
"Barnehagen Vier Sa", "Barnehagen Vier Sa", "1020960"
"Barnehagenvår Fossum Grendehus", "Theas Bærum AS", "1015658"
"Barnehagenvår Fossum Terrasse", "Theas Bærum AS", "1013024"
"Barnehagenvår Granåsen", "Theas Bærum AS", "1016497"
"Barnehagenvår Hosletoppen", "Theas Bærum AS", "1025883"
"Barnehagenvår Lindebergveien", "Theas Bærum AS", "1015657"
"Barnelåven Janne Rosenlind", "Barnelåven Janne Rosenlind", "1019785"
"Bekkestua Kanvas-Barnehage", "Stiftelsen Kanvas", "1017178"
"Belset barnehage Avd Belset", "Bærum kommune", "1012642"
"Berghoff barnehage", "Stiftelsen Berghoff barnehage", "1019786"
"Blommenholm barnehage", "Blommenholm barnehage Sa", "1020367"
"Blåklokken Fam barnehage Avd Underhaugsveien", "Blåklokken Fam barnehage Rehnvall", "1017236"
"Bærumsmarka Fus barnehage AS", "Bærumsmarka Fus barnehage AS", "1021732"
"Child Planet, Atlantis barnehage AS Avd barnehage", "Child Planet, Atlantis barnehage AS", "1026201"
"Forneburingen barnehage", "Bærum kommune", "1026459"
"Gjønnesparken Fus barnehage AS", "Gjønnesparken Fus barnehage AS", "1026345"
"Granvollen Familiebarnehage", "Granvollen Familiebarnehage", "1020209"
"Gullungene Familiebarnehage Avd Njålsvei", "Gullungene Familiebarnehage Mona K Axelsen", "1013193"
"Nøtteliten Familiebarnehage Avd Fagerstrandveien", "Nøtteliten Familiebarnehage Tina Frivåg", "1016357"
"Nøtteliten Familiebarnehage Avd Krydsbyveien", "Nøtteliten Familiebarnehage Tina Frivåg", "1016509"
"Rikke Viksjø", "Rikke Viksjø", "1020258"
"Skogveien barnehage Avd Skallum", "Bærum kommune", "1013472"
"Toppenhaug barnehage Avd Utigarden", "Bærum kommune", "1013546"
"Tveterjordet Fus barnehage AS", "Tveterjordet Fus barnehage AS", "1025922"
"Vøyen Fus barnehage AS", "Vøyen Fus barnehage AS", "1026487"
"Åsterud barnehage Avdeling Edelgranveien", "Bærum kommune", "1013408"
