barnehagefakta.get - WARNING - Change in response for id=975312682, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975312690, archiving old result
barnehagefakta.get - WARNING - Change in response for id=872207562, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993605182, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973471651, archiving old result
barnehagefakta.get - WARNING - Change in response for id=921776071, archiving old result
barnehagefakta.get - WARNING - Change in response for id=874800082, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974047136, archiving old result
barnehagefakta.get - WARNING - Change in response for id=895380652, archiving old result
barnehagefakta.get - WARNING - Change in response for id=972399469, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975312720, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973503057, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974722674, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973494759, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974797682, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975320138, archiving old result
