# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Bangsund barnehage", "Namsos kommune", "1018261"
"Barstad barnehage Sa", "Barstad barnehage Sa", "1019853"
"Bjørum barnehage AS", "Bjørum barnehage AS", "1021688"
"Flak Naturbarnehage AS", "Flak Naturbarnehage AS", "1021100"
"Fossbrenna barnehage", "Namsos kommune", "1014937"
"Granåsen barnehage Sa", "Granåsen barnehage Sa", "1019901"
"Gullvika Naturbarnehage AS", "Gullvika Naturbarnehage AS", "1021656"
"Jøa barnehage", "Namsos kommune", "1016609"
"Kleppen barnehage", "Namsos kommune", "1018263"
"Namsos barnehage", "Namsos barnehage Sa", "1019970"
"Namsos Musikkbarnehage AS", "Namsos Musikkbarnehage AS", "1020928"
"Natur & Idrettsbarnehagen Avd. Bråten", "Natur & Idrettsbarnehagen AS", "1016507"
"Natur & Idrettsbarnehagen Avd. Høknes", "Natur & Idrettsbarnehagen AS", "1014261"
"Otterøy barnehage", "Namsos kommune", "1018264"
"Salsnes Familiebarnehage", "Namsos kommune", "2000062"
"Skoglyveien barnehage AS", "Skoglyveien barnehage AS", "1021098"
"Snippen Familiebarnehage AS", "Snippen Familiebarnehage AS", "1020182"
"Solvang barnehage", "Namsos kommune", "2000027"
"Spillum barnehage", "Namsos kommune", "1018265"
"Stjerten barnehage", "Namsos kommune", "1012529"
"Sørenget barnehage", "Namsos kommune", "1013123"
"Vangstunet barnehage", "Namsos kommune", "1016122"
"Vestbyen barnehage", "Namsos kommune", "1014683"
"Vika barnehage AS", "Vika barnehage AS", "1021894"
