barnehagefakta.get - WARNING - Change in response for id=990664005, archiving old result
barnehagefakta.get - WARNING - Change in response for id=981974816, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975301109, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973594656, archiving old result
barnehagefakta.get - WARNING - Change in response for id=998039576, archiving old result
barnehagefakta.get - WARNING - Change in response for id=911717395, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974102226, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975301656, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993033898, archiving old result
barnehagefakta.get - WARNING - Change in response for id=987549912, archiving old result
barnehagefakta.get - WARNING - Change in response for id=873512962, archiving old result
barnehagefakta.get - WARNING - Change in response for id=931679007, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975301095, archiving old result
barnehagefakta.get - WARNING - Change in response for id=994441116, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875211382, archiving old result
barnehagefakta.get - WARNING - Change in response for id=986170820, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989753908, archiving old result
barnehagefakta.get - WARNING - Change in response for id=984709269, archiving old result
