barnehagefakta.get - WARNING - Change in response for id=1020186, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021657, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1026234, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021639, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022335, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012624, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021335, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021615, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019702, archiving old result
