# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Beckers barnehage AS", "Beckers barnehage AS", "1022332"
"Brattås barnehage AS", "Brattås barnehage AS", "1022004"
"Føynland barnehage", "Nøtterøy kommune", "1018030"
"Gipø barnehage", "Nøtterøy kommune", "1018031"
"Hagemann barnehage AS", "Hagemann barnehage AS", "1022398"
"Hundremeterskogen Barnehage, Nøtterøy Da", "Hundremeterskogen Barnehage, Nøtterøy Da", "1020814"
"Hårkollen barnehage", "Nøtterøy kommune", "1017116"
"Knerten barnehage", "Knerten Føynland AS", "1021683"
"Nøtterøy Familiebarnehage Hanne Birgit Leegaard", "Nøtterøy Familiebarnehage Hanne Birgit Leegaard", "1022456"
"Skarphaga Familiebarnehage Christine H Eikeset", "Skarphaga Familiebarnehage Christine H Eikeset", "1020736"
"Trollbo Familiebarnehage Mona Vibeke Bjørkavåg", "Trollbo Familiebarnehage Mona Vibeke Bjørkavåg", "1021254"
