# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Bamsestua barnehage Sa", "Bamsestua barnehage Sa", "1020358"
"Barnehagen Hundre Sa", "Barnehagen Hundre Sa", "1022324"
"Bjerkaker barnehage Sa", "Bjerkaker barnehage Sa", "1019502"
"Breivika Studentbarnehage", "Norges Arktiske Studentsamskipnad", "1016812"
"Bukkespranget Naturbarnehage AS", "Bukkespranget Naturbarnehage AS", "1021247"
"Bymyra barnehage", "Tromsø kommune", "1017059"
"Charlottenlund barnehage", "Rehabiliteringssenteret Nord-Norges Kurbad AS", "1016821"
"Dalen Familiebarnehage Da", "Dalen Familiebarnehage Da", "1022349"
"Domkirkens barnehage", "Domkirken Sokn", "1016763"
"Ebeltoften Familiebarnehage AS", "Ebeltoften Familiebarnehage AS", "1022194"
"Ekrehagen Friluftsbarnehage Sa", "Ekrehagen Friluftsbarnehage Sa", "1019664"
"Eventyrøya Familiebarnehage Da", "Eventyrøya Familiebarnehage Da", "1020924"
"Fjellvegen barnehage", "Tromsø kommune", "1017056"
"Gimle Studentbarnehage", "Norges Arktiske Studentsamskipnad", "1016836"
"Gyllenvang barnehage", "Tromsø kommune", "1018466"
"Hamna Friluftsbarnehage Sa", "Hamna Friluftsbarnehage Sa", "1019823"
"Hillesøyskolen Avd Sommarøy barnehage", "Tromsø kommune", "1015989"
"Karveslettlia barnehage Sa", "Karveslettlia barnehage Sa", "1020285"
"Kjosen barnehage", "Tromsø kommune", "1013439"
"Kulturbarnehagen", "Kulturbarnehagen", "1020470"
"Kvaløysletta barnehage", "Tromsø kommune", "1016811"
"Lekestua Familiebarnehage AS", "Lekestua Familiebarnehage AS", "1021750"
"Lunheim barnehage", "Tromsø kommune", "1012718"
"Læringsverkstedet barnehage Avd Fagertun", "Læringsverkstedet AS", "1020487"
"Læringsverkstedet barnehage Avd Heimly", "Læringsverkstedet AS", "1015512"
"Læringsverkstedet barnehage Avd Haugenstykket", "Læringsverkstedet AS", "1025451"
"Marsveien barnehage", "Norlandia Barnehagene AS", "1025452"
"Midnattsol Familiebarnehage", "Midnattsol Familiebarnehage", "1021431"
"Mortensnes Familiebarnehage", "Mortensnes Familiebarnehage AS", "1022266"
"Myrveien Familiebarnehage AS", "Myrvegen Familiebarnehage AS", "1022108"
"Norlandia Hvalrossen barnehage", "Norlandia Barnehagene AS", "1015659"
"Norlandia Isbjørnen barnehage", "Norlandia Barnehagene AS", "1020526"
"Norlandia Kvitungen barnehage", "Norlandia Barnehagene AS", "1015977"
"Norlandia Polarmåsen barnehage", "Norlandia Barnehagene AS", "1015660"
"Norlandia Polarreven Friluftsbanehage", "Norlandia Barnehagene AS", "1015661"
"Olsgård barnehage", "Tromsø kommune", "1012726"
"Rødhette AS", "Rødhette AS", "1020748"
"Sjømannsbyen barnehage", "Tromsø kommune", "1013421"
"Skittenelv barnehage", "Tromsø kommune", "1016972"
"Skjelnan barnehage", "Tromsø kommune", "1012724"
"Solneset barnehage", "Tromsø kommune", "1018441"
"Solstrandvegen Fus barnehage AS", "Solstrandvegen Fus barnehage AS", "2000371"
"Solstua Familiebarnehage", "Stiftelsen Solstua Familiebarnehage", "1020324"
"Sommereng barnehage", "Tromsø kommune", "1017061"
"Storvollen barnehage", "Tromsø kommune", "1017057"
"Strandkanten Fus barnehage AS", "Strandkanten Fus barnehage AS", "1022184"
"Straumsbukta barnehage", "Tromsø kommune", "1016518"
"Templarheimen barnehage", "Tromsø kommune", "1017060"
"Tindfoten Fus barnehage AS", "Tindfoten Fus barnehage AS", "1026359"
"Toftveien barnehage Sa", "Toftveien barnehage Sa", "1020105"
"Trollbakken barnehage", "Tromsø kommune", "1025357"
"Tromsdalen barnehage", "Tromsø kommune", "1012717"
"Tromstun barnehage", "Tromsø kommune", "1013864"
"Tromvik barnehage", "Tromsø kommune", "1013533"
"Trudvang barnehage", "Tromsø kommune", "2000134"
"Tusseladden friluftsbarnehage", "Tusseladden Friluftsbarnehage Sa", "1015553"
"Universet Studentbarnehage", "Norges Arktiske Studentsamskipnad", "1017192"
"Varden barnehage", "Tromsø kommune", "1015581"
"Virre Vapp Familiebarnehage AS", "Virre Vapp Familiebarnehage AS", "1022447"
"Workinnmarka barnehage", "Tromsø kommune", "1017020"
"Åsland barnehage Sa", "Åsland barnehage Sa", "1019756"
